Label,skin,brand,num_products,total_active,avg_active,median_active,avg_price,avg_rating
Cleanser,Combination,CLINIQUE,12,22,1.8333333333333333,2.0,20.25,4.4750000000000005
Cleanser,Combination,OLEHENRIKSEN,9,21,2.3333333333333335,3.0,22.555555555555557,4.388888888888889
Cleanser,Combination,MURAD,10,19,1.9,2.0,39.0,4.0
Cleanser,Combination,GLAMGLOW,6,14,2.3333333333333335,2.0,41.666666666666664,4.083333333333333
Cleanser,Combination,FIRST AID BEAUTY,5,12,2.4,2.0,29.6,4.26
Cleanser,Dry,OLEHENRIKSEN,11,36,3.272727272727273,3.0,24.818181818181817,4.427272727272728
Cleanser,Dry,CLINIQUE,15,29,1.9333333333333333,2.0,20.333333333333332,4.433333333333334
Cleanser,Dry,MURAD,9,26,2.888888888888889,3.0,39.0,3.9555555555555557
Cleanser,Dry,KIEHL'S SINCE 1851,11,21,1.9090909090909092,1.0,24.636363636363637,4.3545454545454545
Cleanser,Dry,ORIGINS,9,20,2.2222222222222223,2.0,25.77777777777778,4.388888888888889
Cleanser,Normal,OLEHENRIKSEN,11,58,5.2727272727272725,5.0,24.818181818181817,4.427272727272728
Cleanser,Normal,CLINIQUE,18,42,2.3333333333333335,2.0,20.833333333333332,4.466666666666667
Cleanser,Normal,MURAD,11,40,3.6363636363636362,4.0,38.18181818181818,4.027272727272727
Cleanser,Normal,ORIGINS,9,31,3.4444444444444446,3.0,25.77777777777778,4.388888888888889
Cleanser,Normal,GLAMGLOW,6,30,5.0,5.0,41.666666666666664,4.083333333333333
Cleanser,Oily,CLINIQUE,13,24,1.8461538461538463,2.0,21.0,4.461538461538462
Cleanser,Oily,GLAMGLOW,6,22,3.6666666666666665,3.5,41.666666666666664,4.083333333333333
Cleanser,Oily,OLEHENRIKSEN,7,17,2.4285714285714284,3.0,21.285714285714285,4.371428571428572
Cleanser,Oily,MURAD,8,14,1.75,1.0,42.0,4.45
Cleanser,Oily,KATE SOMERVILLE,6,12,2.0,1.5,35.833333333333336,3.6
Cleanser,Sensitive,OLEHENRIKSEN,11,50,4.545454545454546,5.0,24.818181818181817,4.427272727272728
Cleanser,Sensitive,MURAD,9,36,4.0,3.0,39.0,3.9555555555555557
Cleanser,Sensitive,CLINIQUE,17,33,1.9411764705882353,2.0,20.941176470588236,4.470588235294118
Cleanser,Sensitive,FIRST AID BEAUTY,5,28,5.6,6.0,29.6,4.26
Cleanser,Sensitive,GLAMGLOW,6,28,4.666666666666667,5.0,41.666666666666664,4.083333333333333
Eye cream,Combination,PETER THOMAS ROTH,9,25,2.7777777777777777,2.0,66.44444444444444,3.9444444444444446
Eye cream,Combination,PHILOSOPHY,8,22,2.75,3.0,53.375,3.775
Eye cream,Combination,DR. DENNIS GROSS SKINCARE,4,15,3.75,4.0,62.75,3.65
Eye cream,Combination,ORIGINS,7,15,2.142857142857143,2.0,41.142857142857146,3.7857142857142856
Eye cream,Combination,FIRST AID BEAUTY,6,13,2.1666666666666665,2.0,32.0,3.8000000000000003
Eye cream,Dry,PETER THOMAS ROTH,9,47,5.222222222222222,5.0,66.44444444444444,3.9444444444444446
Eye cream,Dry,PHILOSOPHY,8,30,3.75,4.0,53.375,3.775
Eye cream,Dry,ESTÉE LAUDER,6,27,4.5,4.5,61.0,3.6
Eye cream,Dry,ORIGINS,7,27,3.857142857142857,4.0,41.142857142857146,3.7857142857142856
Eye cream,Dry,PERRICONE MD,8,26,3.25,3.0,98.25,4.175
Eye cream,Normal,PETER THOMAS ROTH,9,70,7.777777777777778,7.0,66.44444444444444,3.9444444444444446
Eye cream,Normal,PHILOSOPHY,8,56,7.0,7.5,53.375,3.775
Eye cream,Normal,CLINIQUE,7,44,6.285714285714286,6.0,37.0,3.814285714285714
Eye cream,Normal,ORIGINS,7,41,5.857142857142857,6.0,41.142857142857146,3.7857142857142856
Eye cream,Normal,ESTÉE LAUDER,6,39,6.5,7.0,61.0,3.6
Eye cream,Oily,PETER THOMAS ROTH,9,19,2.111111111111111,2.0,66.44444444444444,3.9444444444444446
Eye cream,Oily,PHILOSOPHY,7,16,2.2857142857142856,2.0,55.57142857142857,3.7142857142857144
Eye cream,Oily,CLINIQUE,7,14,2.0,2.0,37.0,3.814285714285714
Eye cream,Oily,FIRST AID BEAUTY,6,13,2.1666666666666665,2.0,32.0,3.8000000000000003
Eye cream,Oily,DR. DENNIS GROSS SKINCARE,4,12,3.0,3.0,62.75,3.65
Eye cream,Sensitive,PETER THOMAS ROTH,9,64,7.111111111111111,6.0,66.44444444444444,3.9444444444444446
Eye cream,Sensitive,PHILOSOPHY,8,42,5.25,5.5,53.375,3.775
Eye cream,Sensitive,ORIGINS,7,37,5.285714285714286,5.0,41.142857142857146,3.7857142857142856
Eye cream,Sensitive,CLINIQUE,7,32,4.571428571428571,4.0,37.0,3.814285714285714
Eye cream,Sensitive,ESTÉE LAUDER,6,30,5.0,5.5,61.0,3.6
Face Mask,Combination,SEPHORA COLLECTION,24,31,1.2916666666666667,1.0,8.166666666666666,4.183333333333334
