Label,Skin,MaxPrice,brands_in_view,SkinMatch_Leader_Brand,SkinMatch_Coverage,SkinMatch_AvgRating,SkinMatch_AvgPrice,Lift_Leader_Brand,Lift_Avg,Lift_HighCount,Distinct_Leader_Brand,Distinct_Avg,Distinct_Count
Cleanser,Combination,40,27,CLARINS,0.733,4.55,30.0,INDIE LEE,1.338,2,INDIE LEE,6.468,3
Cleanser,Combination,60,29,CLARINS,0.733,4.55,30.0,INDIE LEE,1.338,2,INDIE LEE,6.468,3
Cleanser,Combination,80,33,CLARINS,0.733,4.55,30.0,INDIE LEE,1.338,2,INDIE LEE,6.468,3
Cleanser,Combination,100,34,CLARINS,0.733,4.55,30.0,INDIE LEE,1.338,2,INDIE LEE,6.468,3
Cleanser,Combination,120,34,CLARINS,0.733,4.55,30.0,INDIE LEE,1.338,2,INDIE LEE,6.468,3
Cleanser,Combination,150,34,CLARINS,0.733,4.55,30.0,INDIE LEE,1.338,2,INDIE LEE,6.468,3
Cleanser,Combination,200,34,CLARINS,0.733,4.55,30.0,INDIE LEE,1.338,2,INDIE LEE,6.468,3
Cleanser,Dry,40,24,CLARINS,0.733,4.57,31.33,INDIE LEE,1.342,2,INDIE LEE,6.468,3
Cleanser,Dry,60,27,CLARINS,0.733,4.57,31.33,INDIE LEE,1.342,2,INDIE LEE,6.468,3
Cleanser,Dry,80,30,CLARINS,0.733,4.57,31.33,INDIE LEE,1.342,2,INDIE LEE,6.468,3
Cleanser,Dry,100,31,CLARINS,0.733,4.57,31.33,INDIE LEE,1.342,2,INDIE LEE,6.468,3
Cleanser,Dry,120,31,CLARINS,0.733,4.57,31.33,INDIE LEE,1.342,2,INDIE LEE,6.468,3
Cleanser,Dry,150,31,CLARINS,0.733,4.57,31.33,INDIE LEE,1.342,2,INDIE LEE,6.468,3
Cleanser,Dry,200,31,CLARINS,0.733,4.57,31.33,INDIE LEE,1.342,2,INDIE LEE,6.468,3
Cleanser,Normal,40,27,CLARINS,0.733,4.55,30.0,INDIE LEE,1.338,2,INDIE LEE,6.468,3
Cleanser,Normal,60,29,CLARINS,0.733,4.55,30.0,INDIE LEE,1.338,2,INDIE LEE,6.468,3
Cleanser,Normal,80,33,CLARINS,0.733,4.55,30.0,INDIE LEE,1.338,2,INDIE LEE,6.468,3
Cleanser,Normal,100,34,CLARINS,0.733,4.55,30.0,INDIE LEE,1.338,2,INDIE LEE,6.468,3
Cleanser,Normal,120,34,CLARINS,0.733,4.55,30.0,INDIE LEE,1.338,2,INDIE LEE,6.468,3
Cleanser,Normal,150,34,CLARINS,0.733,4.55,30.0,INDIE LEE,1.338,2,INDIE LEE,6.468,3
Cleanser,Normal,200,34,CLARINS,0.733,4.55,30.0,INDIE LEE,1.338,2,INDIE LEE,6.468,3
Cleanser,Oily,40,27,FRESH,0.733,3.75,33.5,INDIE LEE,1.303,1,INDIE LEE,6.468,3
Cleanser,Oily,60,29,FRESH,0.733,3.75,33.5,INDIE LEE,1.303,1,INDIE LEE,6.468,3
Cleanser,Oily,80,32,FRESH,0.733,3.75,33.5,INDIE LEE,1.303,1,INDIE LEE,6.468,3
Cleanser,Oily,100,33,FRESH,0.733,3.75,33.5,INDIE LEE,1.303,1,INDIE LEE,6.468,3
Cleanser,Oily,120,33,FRESH,0.733,3.75,33.5,INDIE LEE,1.303,1,INDIE LEE,6.468,3
Cleanser,Oily,150,33,FRESH,0.733,3.75,33.5,INDIE LEE,1.303,1,INDIE LEE,6.468,3
Cleanser,Oily,200,33,FRESH,0.733,3.75,33.5,INDIE LEE,1.303,1,INDIE LEE,6.468,3
Cleanser,Sensitive,40,25,CLARINS,0.733,4.5,28.0,INDIE LEE,1.319,2,INDIE LEE,6.468,3
Cleanser,Sensitive,60,27,CLARINS,0.733,4.5,28.0,INDIE LEE,1.319,2,INDIE LEE,6.468,3
Cleanser,Sensitive,80,29,CLARINS,0.733,4.5,28.0,INDIE LEE,1.319,2,INDIE LEE,6.468,3
Cleanser,Sensitive,100,30,CLARINS,0.733,4.5,28.0,INDIE LEE,1.319,2,INDIE LEE,6.468,3
Cleanser,Sensitive,120,30,CLARINS,0.733,4.5,28.0,INDIE LEE,1.319,2,INDIE LEE,6.468,3
Cleanser,Sensitive,150,30,CLARINS,0.733,4.5,28.0,INDIE LEE,1.319,2,INDIE LEE,6.468,3
Cleanser,Sensitive,200,30,CLARINS,0.733,4.5,28.0,INDIE LEE,1.319,2,INDIE LEE,6.468,3
Eye cream,Combination,40,7,CLINIQUE,0.6,3.92,29.0,WANDER BEAUTY,1.226,1,WANDER BEAUTY,4.878,5
Eye cream,Combination,60,17,CLARINS,0.733,3.7,47.5,WANDER BEAUTY,1.226,1,WANDER BEAUTY,4.878,5
Eye cream,Combination,80,26,FRESH,0.733,3.9,58.0,WANDER BEAUTY,1.226,1,WANDER BEAUTY,4.878,5
Eye cream,Combination,100,28,FRESH,0.733,3.9,58.0,WANDER BEAUTY,1.226,1,WANDER BEAUTY,4.878,5
Eye cream,Combination,120,29,FRESH,0.733,3.9,58.0,WANDER BEAUTY,1.226,1,WANDER BEAUTY,4.878,5
Eye cream,Combination,150,29,FRESH,0.733,3.9,58.0,WANDER BEAUTY,1.226,1,WANDER BEAUTY,4.878,5
Eye cream,Combination,200,29,FRESH,0.733,4.27,93.67,WANDER BEAUTY,1.226,1,WANDER BEAUTY,4.878,5
Eye cream,Dry,40,7,CLINIQUE,0.6,3.92,29.0,WANDER BEAUTY,1.24,2,WANDER BEAUTY,4.878,5
Eye cream,Dry,60,17,CLARINS,0.733,3.7,47.5,WANDER BEAUTY,1.24,2,WANDER BEAUTY,4.878,5
Eye cream,Dry,80,26,FRESH,0.733,3.9,58.0,WANDER BEAUTY,1.24,2,WANDER BEAUTY,4.878,5
Eye cream,Dry,100,28,FRESH,0.733,3.9,58.0,WANDER BEAUTY,1.24,2,WANDER BEAUTY,4.878,5
Eye cream,Dry,120,29,FRESH,0.733,3.9,58.0,WANDER BEAUTY,1.24,2,WANDER BEAUTY,4.878,5
Eye cream,Dry,150,29,FRESH,0.733,3.9,58.0,WANDER BEAUTY,1.24,2,WANDER BEAUTY,4.878,5
Eye cream,Dry,200,30,FRESH,0.733,4.27,93.67,WANDER BEAUTY,1.24,2,WANDER BEAUTY,4.878,5
Eye cream,Normal,40,7,CLINIQUE,0.6,3.92,29.0,WANDER BEAUTY,1.232,2,WANDER BEAUTY,4.878,5
Eye cream,Normal,60,17,CLARINS,0.733,3.7,47.5,WANDER BEAUTY,1.232,2,WANDER BEAUTY,4.878,5
