brand,num_products,avg_price,avg_rating,avg_actives,overlap_with_skin_topN,coverage_skin_topN,avg_lift_vs_label,num_high_lift(>1.5),avg_distinctiveness,num_distinct(>2x_label),example_overlap,price_per_active
BOSCIA,9,24.89,4.04,6.33,4,0.267,0.823,0,2.08,3,"Butylene Glycol, Glycerin, Water",3.93
CAUDALIE,2,39.0,4.35,5.5,6,0.4,0.904,0,1.983,4,"Water, Caprylyl Glycol, Potassium Sorbate",7.09
DR ROEBUCK’S,2,28.0,4.35,7.0,4,0.267,0.976,0,4.36,6,"Glycerin, Caprylyl Glycol, Water",4.0
DR. JART+,25,11.56,4.1,4.96,6,0.4,0.83,0,1.636,5,"Butylene Glycol, Glycerin, Water",2.33
FARMACY,3,16.67,4.53,8.33,6,0.4,0.854,0,1.3,2,"Glycerin, Water, Caprylic/Capric Triglyceride",2.0
FIRST AID BEAUTY,4,31.0,4.28,5.75,8,0.533,0.954,0,2.206,4,"Glycerin, Water, Phenoxyethanol",5.39
FOREO,6,15.67,3.08,1.0,0,0.0,,0,,0,,15.67
GLOW RECIPE,2,15.0,3.65,4.0,4,0.267,0.782,0,2.704,3,"Glycerin, Sodium Hyaluronate, Xanthan Gum",3.75
KIEHL'S SINCE 1851,2,39.0,4.3,6.0,8,0.533,1.061,0,2.004,4,"Water, Phenoxyethanol, Glycerin",6.5
LANCÔME,3,29.67,4.53,3.67,5,0.333,0.987,0,1.853,5,"Water, Glycerin, Phenoxyethanol",8.09
LANEIGE,4,19.0,4.47,3.25,6,0.4,0.869,0,1.687,3,"Water, Ethylhexylglycerin, Glycerin",5.85
MURAD,2,38.0,4.2,5.0,6,0.4,0.896,0,1.88,4,"Butylene Glycol, Water, Phenoxyethanol",7.6
OLEHENRIKSEN,2,34.0,4.4,11.0,9,0.6,0.983,0,1.843,4,"Phenoxyethanol, Water, Glycerin",3.09
ORIGINS,15,22.8,4.11,5.73,8,0.533,0.959,0,1.928,6,"Butylene Glycol, Glycerin, Sodium Hyaluronate",3.98
PHILOSOPHY,2,36.0,4.65,2.0,7,0.467,0.975,0,1.671,4,"Glycerin, Water, Phenoxyethanol",18.0
SATURDAY SKIN,2,6.0,4.45,4.0,3,0.2,0.768,0,1.839,3,"Glycerin, Water, Butylene Glycol",1.5
SEPHORA COLLECTION,21,8.43,4.31,4.9,8,0.533,0.774,0,2.393,8,"Glycerin, Phenoxyethanol, Butylene Glycol",1.72
TOO COOL FOR SCHOOL,6,11.67,4.1,4.17,8,0.533,0.808,0,2.717,7,"Water, Butylene Glycol, Glycerin",2.8
