brand,num_products,avg_price,avg_rating,avg_actives,overlap_with_skin_topN,coverage_skin_topN,avg_lift_vs_label,num_high_lift(>1.5),avg_distinctiveness,num_distinct(>2x_label),example_overlap,price_per_active
BELIF,2,36.0,4.35,6.0,5,0.333,0.849,0,2.328,7,"Water, Glycerin, Butylene Glycol",6.0
BOSCIA,9,24.89,4.04,6.33,4,0.267,0.84,0,2.08,3,"Butylene Glycol, Glycerin, Water",3.93
CAUDALIE,2,39.0,4.35,5.5,6,0.4,0.904,0,1.983,4,"Water, Caprylyl Glycol, Potassium Sorbate",7.09
CLARINS,2,68.0,4.9,4.5,11,0.733,0.947,0,1.916,5,"Glycerin, Water, Phenoxyethanol",15.11
DR ROEBUCK’S,2,28.0,4.35,7.0,4,0.267,0.968,0,4.36,6,"Glycerin, Caprylyl Glycol, Water",4.0
DR. BRANDT SKINCARE,2,63.5,4.3,7.5,9,0.6,0.925,0,1.556,3,"Phenoxyethanol, Water, Glycerin",8.47
DR. JART+,27,14.26,4.12,4.96,6,0.4,0.832,0,1.636,5,"Butylene Glycol, Glycerin, Water",2.87
EVE LOM,3,111.67,3.47,6.0,8,0.533,0.958,1,2.2,6,"Glycerin, Phenoxyethanol, Water",18.61
FARMACY,4,26.5,4.47,7.25,6,0.4,0.87,1,1.3,2,"Glycerin, Water, Caprylic/Capric Triglyceride",3.66
FIRST AID BEAUTY,4,31.0,4.28,5.75,8,0.533,0.949,0,2.206,4,"Glycerin, Water, Phenoxyethanol",5.39
FOREO,6,15.67,3.08,1.0,0,0.0,,0,,0,,15.67
FRESH,3,98.0,4.03,5.67,11,0.733,0.933,1,1.888,4,"Water, Glycerin, Butylene Glycol",17.29
GLAMGLOW,2,105.5,2.05,13.5,9,0.6,0.814,0,1.769,5,"Glycerin, Phenoxyethanol, Water",7.81
KIEHL'S SINCE 1851,4,44.25,4.25,5.5,8,0.533,1.041,1,2.004,4,"Water, Phenoxyethanol, Glycerin",8.05
LANCER,2,130.0,3.95,7.0,8,0.533,0.919,0,1.912,4,"Water, Glycerin, Ethylhexylglycerin",18.57
LANCÔME,4,34.25,4.55,2.75,5,0.333,0.947,0,1.853,5,"Water, Glycerin, Phenoxyethanol",12.45
LANEIGE,4,19.0,4.47,3.25,6,0.4,0.867,0,1.687,3,"Water, Ethylhexylglycerin, Glycerin",5.85
OLEHENRIKSEN,2,34.0,4.4,11.0,9,0.6,0.98,1,1.843,4,"Phenoxyethanol, Water, Glycerin",3.09
ORIGINS,7,14.71,4.13,4.71,8,0.533,0.935,0,1.928,6,"Butylene Glycol, Glycerin, Sodium Hyaluronate",3.12
PERRICONE MD,2,59.5,4.35,4.5,8,0.533,0.939,0,1.619,4,"Water, Glycerin, Phenoxyethanol",13.22
PETER THOMAS ROTH,7,64.29,4.14,5.86,9,0.6,0.864,0,1.525,2,"Water, Butylene Glycol, Glycerin",10.98
PHILOSOPHY,2,36.0,4.65,2.0,7,0.467,0.947,0,1.671,4,"Glycerin, Water, Phenoxyethanol",18.0
SATURDAY SKIN,2,6.0,4.45,4.0,3,0.2,0.788,0,1.839,3,"Glycerin, Water, Butylene Glycol",1.5
SEPHORA COLLECTION,16,7.56,4.41,4.56,8,0.533,0.765,0,2.393,8,"Glycerin, Phenoxyethanol, Butylene Glycol",1.66
SK-II,3,136.67,4.23,1.67,5,0.333,0.916,0,2.628,4,"Water, Butylene Glycol, Glycerin",82.0
SKIN INC SUPPLEMENT BAR,2,70.0,4.15,3.5,6,0.4,0.878,0,3.883,7,"Butylene Glycol, Glycerin, Water",20.0
SKIN LAUNDRY,3,55.33,3.7,3.33,6,0.4,0.873,0,3.295,7,"Glycerin, Water, Butylene Glycol",16.6
TATA HARPER,2,65.0,4.1,5.5,2,0.133,0.898,0,3.46,4,"Glycerin, Caprylic/Capric Triglyceride",11.82
TATCHA,3,58.33,4.3,2.67,4,0.267,0.916,0,3.416,4,"Ethylhexylglycerin, Water, Glycerin",21.88
TOO COOL FOR SCHOOL,5,12.8,4.18,4.2,8,0.533,0.809,0,2.717,7,"Water, Butylene Glycol, Glycerin",3.05
