brand,num_products,avg_price,avg_rating,avg_actives,overlap_with_skin_topN,coverage_skin_topN,avg_lift_vs_label,num_high_lift(>1.5),avg_distinctiveness,num_distinct(>2x_label),example_overlap,price_per_active
ALGENIST,2,103.5,4.35,6.5,9,0.6,1.113,0,2.153,8,"Glycerin, Water, Caprylyl Glycol",15.92
AMOREPACIFIC,6,116.67,4.27,4.0,5,0.333,1.115,1,2.402,6,"Butylene Glycol, Glycerin, Water",29.17
BELIF,3,43.33,4.63,7.67,5,0.333,1.027,2,2.932,7,"Water, Glycerin, Butylene Glycol",5.65
BIOSSANCE,5,54.0,4.5,4.2,8,0.533,1.044,0,2.646,7,"Water, Caprylic/Capric Triglyceride, Glycerin",12.86
BOBBI BROWN,2,53.5,4.2,3.5,8,0.533,0.974,0,2.185,9,"Water, Butylene Glycol, Glycerin",15.29
CAUDALIE,9,65.33,4.29,5.11,6,0.4,1.117,0,2.372,7,"Water, Caprylyl Glycol, Potassium Sorbate",12.78
CLARINS,2,73.5,4.15,4.5,11,0.733,1.048,0,2.034,5,"Glycerin, Water, Phenoxyethanol",16.33
CLINIQUE,9,35.33,3.81,5.33,9,0.6,0.995,0,1.879,4,"Butylene Glycol, Phenoxyethanol, Water",6.63
DIOR,2,105.0,4.1,0.0,0,0.0,,0,,0,,105.0
DR. DENNIS GROSS SKINCARE,3,74.33,4.23,9.67,6,0.4,1.124,0,1.661,3,"Glycerin, Water, Butylene Glycol",7.69
DR. JART+,5,44.0,4.26,5.2,6,0.4,1.223,2,2.699,6,"Butylene Glycol, Glycerin, Water",8.46
DRUNK ELEPHANT,5,66.0,4.38,6.2,7,0.467,1.041,0,2.158,7,"Glycerin, Caprylyl Glycol, Water",10.65
ERBORIAN,2,41.5,4.25,2.5,6,0.4,0.963,0,2.445,5,"Butylene Glycol, Water, Ethylhexylglycerin",16.6
ESTÉE LAUDER,3,96.33,4.37,1.67,7,0.467,0.936,0,1.709,3,"Butylene Glycol, Phenoxyethanol, Sodium Hyaluronate",57.8
FARMACY,4,46.25,4.38,5.0,6,0.4,1.195,2,1.822,4,"Glycerin, Water, Caprylic/Capric Triglyceride",9.25
FIRST AID BEAUTY,7,32.86,4.23,5.57,8,0.533,1.051,0,2.289,2,"Glycerin, Water, Phenoxyethanol",5.9
FRESH,2,67.0,4.2,7.5,11,0.733,1.025,0,2.046,6,"Water, Glycerin, Butylene Glycol",8.93
GLAMGLOW,4,54.0,4.15,6.75,9,0.6,1.06,0,2.103,7,"Glycerin, Phenoxyethanol, Water",8.0
GLOW RECIPE,2,42.0,4.1,3.0,4,0.267,1.088,0,2.836,2,"Glycerin, Sodium Hyaluronate, Xanthan Gum",14.0
GUERLAIN,3,44.33,4.2,0.33,0,0.0,,0,,0,,44.33
HERBIVORE,5,49.8,4.26,4.2,1,0.067,0.97,0,2.577,1,Glycerin,11.86
IT COSMETICS,6,44.67,4.08,14.33,7,0.467,1.146,1,1.664,3,"Butylene Glycol, Glycerin, Phenoxyethanol",3.12
JOSIE MARAN,5,36.0,4.2,3.4,3,0.2,1.053,0,1.554,0,"Phenoxyethanol, Butylene Glycol, Caprylyl Glycol",10.59
KATE SOMERVILLE,5,75.0,4.22,5.6,9,0.6,1.029,0,1.732,4,"Water, Glycerin, Phenoxyethanol",13.39
KIEHL'S SINCE 1851,7,35.0,4.3,4.43,8,0.533,0.982,0,1.887,3,"Water, Phenoxyethanol, Glycerin",7.9
KORRES,2,51.0,4.4,6.0,6,0.4,1.066,0,2.029,3,"Water, Glycerin, Phenoxyethanol",8.5
LA MER,5,148.0,3.86,4.8,0,0.0,0.796,0,2.28,1,,30.83
LANCÔME,5,82.4,4.32,2.4,5,0.333,0.906,0,1.794,4,"Water, Glycerin, Phenoxyethanol",34.33
LANEIGE,5,34.4,4.6,5.8,6,0.4,1.175,1,2.472,3,"Water, Ethylhexylglycerin, Glycerin",5.93
MURAD,5,57.0,4.34,8.6,6,0.4,1.068,0,1.961,3,"Butylene Glycol, Water, Phenoxyethanol",6.63
OLEHENRIKSEN,6,45.67,4.32,7.0,9,0.6,1.109,0,2.168,5,"Phenoxyethanol, Water, Glycerin",6.52
ORIGINS,7,46.14,4.21,7.71,8,0.533,0.929,0,1.907,6,"Butylene Glycol, Glycerin, Sodium Hyaluronate",5.98
PERRICONE MD,2,102.0,4.05,5.0,8,0.533,0.997,0,1.698,3,"Water, Glycerin, Phenoxyethanol",20.4
PHILOSOPHY,5,52.4,4.16,4.2,7,0.467,1.057,0,1.748,5,"Glycerin, Water, Phenoxyethanol",12.48
SATURDAY SKIN,2,44.0,4.6,3.5,3,0.2,1.345,2,3.576,2,"Glycerin, Water, Butylene Glycol",12.57
