brand,num_products,avg_price,avg_rating,avg_actives,overlap_with_skin_topN,coverage_skin_topN,avg_lift_vs_label,num_high_lift(>1.5),avg_distinctiveness,num_distinct(>2x_label),example_overlap,price_per_active
AMOREPACIFIC,3,55.67,3.83,2.0,5,0.333,1.11,0,2.477,3,"Butylene Glycol, Glycerin, Water",27.83
CLINIQUE,4,25.25,3.92,2.0,9,0.6,0.968,0,1.831,4,"Butylene Glycol, Phenoxyethanol, Water",12.62
COOLA,17,35.88,4.25,2.88,2,0.133,0.934,0,1.951,1,"Water, Caprylyl Glycol",12.45
DRUNK ELEPHANT,2,35.0,3.45,5.0,7,0.467,1.088,0,2.161,4,"Glycerin, Caprylyl Glycol, Water",7.0
FIRST AID BEAUTY,2,32.0,3.85,8.0,8,0.533,1.119,0,2.393,2,"Glycerin, Water, Phenoxyethanol",4.0
ILIA,2,38.0,3.65,4.5,3,0.2,1.082,0,2.787,2,"Dimethicone, Ethylhexylglycerin, Glycerin",8.44
KIEHL'S SINCE 1851,4,62.5,3.78,3.25,8,0.533,1.02,0,1.866,3,"Water, Phenoxyethanol, Glycerin",19.23
KORRES,2,30.5,4.25,6.0,6,0.4,0.986,0,1.785,3,"Water, Glycerin, Phenoxyethanol",5.08
MDSOLARSCIENCES,5,36.4,4.2,4.6,1,0.067,0.665,0,3.584,3,Dimethicone,7.91
MOROCCANOIL,5,32.4,3.58,3.6,6,0.4,1.02,0,3.014,7,"Glycerin, Tocopherol, Tocopheryl Acetate",9.0
PETER THOMAS ROTH,2,34.0,4.0,3.0,9,0.6,1.184,0,2.01,3,"Water, Butylene Glycol, Glycerin",11.33
PHILOSOPHY,2,57.0,3.9,6.5,7,0.467,1.049,0,1.632,3,"Glycerin, Water, Phenoxyethanol",8.77
SHISEIDO,5,32.4,4.32,1.8,7,0.467,1.03,1,2.116,4,"Butylene Glycol, Glycerin, Water",18.0
SUPERGOOP!,11,29.82,4.15,4.0,7,0.467,1.028,0,1.839,5,"Glycerin, Caprylic/Capric Triglyceride, Caprylyl Glycol",7.45
TARTE,3,32.0,3.97,4.33,8,0.533,1.057,0,1.963,4,"Water, Phenoxyethanol, Glycerin",7.38
