brand,num_products,avg_price,avg_rating,avg_actives,overlap_with_skin_topN,coverage_skin_topN,avg_lift_vs_label,num_high_lift(>1.5),avg_distinctiveness,num_distinct(>2x_label),example_overlap,price_per_active
CAUDALIE,4,45.5,4.3,4.25,6,0.4,0.946,0,1.94,3,"Water, Caprylyl Glycol, Potassium Sorbate",10.71
CLINIQUE,3,35.33,4.07,5.0,9,0.6,0.947,0,1.868,3,"Butylene Glycol, Phenoxyethanol, Water",7.07
DR. JART+,3,44.67,4.23,7.0,6,0.4,1.022,0,1.691,3,"Butylene Glycol, Glycerin, Water",6.38
DRUNK ELEPHANT,4,34.75,4.22,6.75,7,0.467,0.966,0,1.922,5,"Glycerin, Caprylyl Glycol, Water",5.15
FIRST AID BEAUTY,4,39.5,4.35,8.25,8,0.533,0.914,0,1.966,1,"Glycerin, Water, Phenoxyethanol",4.79
IT COSMETICS,3,41.33,3.87,16.67,7,0.467,1.038,0,1.47,2,"Butylene Glycol, Glycerin, Phenoxyethanol",2.48
KATE SOMERVILLE,3,43.0,4.17,4.33,9,0.6,0.961,0,1.619,4,"Water, Glycerin, Phenoxyethanol",9.92
KIEHL'S SINCE 1851,3,48.33,4.1,4.0,8,0.533,0.993,0,1.964,4,"Water, Phenoxyethanol, Glycerin",12.08
MOON JUICE,2,48.5,4.7,6.5,4,0.267,1.076,0,5.736,6,"Citric Acid, Glycerin, Tocopherol",7.46
OLEHENRIKSEN,4,50.25,4.32,7.0,9,0.6,0.997,0,1.8,3,"Phenoxyethanol, Water, Glycerin",7.18
ORIGINS,5,45.4,4.04,6.4,8,0.533,0.902,0,1.728,4,"Butylene Glycol, Glycerin, Sodium Hyaluronate",7.09
PEACE OUT,2,19.0,4.25,1.5,3,0.2,1.066,0,7.253,6,"Butylene Glycol, Carbomer, Glycerin",12.67
PETER THOMAS ROTH,5,43.8,4.26,3.4,9,0.6,0.955,0,1.582,3,"Water, Butylene Glycol, Glycerin",12.88
REN CLEAN SKINCARE,4,50.25,4.22,1.25,5,0.333,0.953,0,1.528,2,"Glycerin, Phenoxyethanol, Tocopherol",40.2
