brand,num_products,avg_price,median_price,mean_active_count
IT COSMETICS,16,40.5625,38.0,14.0
NATURALLY SERIOUS,2,43.0,43.0,10.5
ANTHONY,3,32.0,34.0,10.0
WANDER BEAUTY,2,25.0,25.0,10.0
YOUTH TO THE PEOPLE,7,46.714285714285715,44.0,8.571428571428571
DR. DENNIS GROSS SKINCARE,25,68.4,68.0,8.12
NEOGEN DERMALOGY,3,25.333333333333332,27.0,8.0
CHARLOTTE TILBURY,5,60.8,60.0,7.8
DERMADOCTOR,11,64.18181818181819,65.0,7.545454545454546
GLAMGLOW,17,54.23529411764706,59.0,7.529411764705882
MURAD,47,54.87234042553192,52.0,7.319148936170213
NURSE JAMIE,1,69.0,69.0,7.0
SAND & SKY,1,49.0,49.0,7.0
OLEHENRIKSEN,27,39.407407407407405,38.0,6.962962962962963
DR ROEBUCK’S,3,31.333333333333332,28.0,6.666666666666667
DR. BRANDT SKINCARE,19,68.78947368421052,69.0,6.526315789473684
LA MER,30,184.33333333333334,175.0,6.5
FIRST AID BEAUTY,28,32.714285714285715,31.0,6.5
MOON JUICE,2,48.5,48.5,6.5
PETER THOMAS ROTH,46,60.02173913043478,52.0,6.478260869565218
ORIGINS,54,35.648148148148145,33.5,6.074074074074074
DRUNK ELEPHANT,20,51.05,46.0,6.05
LANCER,12,135.83333333333334,107.5,6.0
KORRES,14,49.57142857142857,47.0,6.0
INDIE LEE,4,43.0,40.0,6.0
ESTÉE LAUDER,32,70.90625,70.5,5.90625
FARMACY,13,35.15384615384615,36.0,5.769230769230769
KATE SOMERVILLE,35,63.714285714285715,58.0,5.685714285714286
BELIF,18,39.44444444444444,37.0,5.666666666666667
SMASHBOX,5,40.0,42.0,5.6
OMOROVICZA,5,128.0,125.0,5.6
BIOSSANCE,9,56.55555555555556,58.0,5.555555555555555
COVER FX,2,38.0,38.0,5.5
BOBBI BROWN,10,52.9,51.0,5.5
SUNDAY RILEY,13,71.38461538461539,65.0,5.461538461538462
PHILOSOPHY,29,48.172413793103445,42.0,5.344827586206897
ALGENIST,27,70.77777777777777,72.0,5.222222222222222
JACK BLACK,9,30.0,28.0,5.111111111111111
DR. JART+,41,23.121951219512194,12.0,5.097560975609756
TOM FORD,1,76.0,76.0,5.0
BLITHE,3,44.0,45.0,5.0
BOSCIA,23,25.130434782608695,28.0,4.826086956521739
TARTE,18,33.888888888888886,36.0,4.666666666666667
LANEIGE,18,27.88888888888889,28.0,4.611111111111111
SATURDAY SKIN,7,28.571428571428573,28.0,4.571428571428571
SUMMER FRIDAYS,2,46.0,46.0,4.5
FRESH,44,75.18181818181819,50.0,4.4772727272727275
CLINIQUE,79,32.59493670886076,28.0,4.455696202531645
MDSOLARSCIENCES,6,36.833333333333336,34.5,4.333333333333333
AMOREPACIFIC,21,103.52380952380952,85.0,4.333333333333333
EVE LOM,8,86.5,87.5,4.25
VOLITION BEAUTY,5,49.4,52.0,4.2
PERRICONE MD,30,85.46666666666667,70.5,4.066666666666666
CANE + AUSTIN,2,48.0,48.0,4.0
BAREMINERALS,6,35.833333333333336,31.0,4.0
SON & PARK,1,30.0,30.0,4.0
TOO FACED,1,17.0,17.0,4.0
EDIBLE BEAUTY,1,61.0,61.0,4.0
KIEHL'S SINCE 1851,46,38.58695652173913,35.0,3.9782608695652173
SUPERGOOP!,15,30.2,32.0,3.933333333333333
ERNO LASZLO,7,72.71428571428571,88.0,3.857142857142857
SKIN LAUNDRY,5,44.2,48.0,3.8
BEAUTYBIO,5,46.0,35.0,3.8
CAUDALIE,30,54.53333333333333,39.0,3.7666666666666666
L'OCCITANE,4,64.25,61.5,3.75
HERBIVORE,11,51.90909090909091,48.0,3.727272727272727
MILK MAKEUP,3,28.666666666666668,26.0,3.6666666666666665
J.ONE,3,42.666666666666664,42.0,3.6666666666666665
SK-II,17,156.94117647058823,160.0,3.6470588235294117
