brand,ingredient,count,share
ALGENIST,Glycerin,26,0.02427637721755369
ALGENIST,Water,24,0.022408963585434174
ALGENIST,Caprylyl Glycol,23,0.021475256769374416
ALGENIST,Butylene Glycol,22,0.02054154995331466
ALGENIST,Phenoxyethanol,22,0.02054154995331466
ALGENIST,Algae Exopolysaccharides,21,0.0196078431372549
ALGENIST,Dimethicone,19,0.017740429505135387
ALGENIST,Disodium EDTA,19,0.017740429505135387
ALGENIST,Ethylhexylglycerin,16,0.014939309056956116
ALGENIST,Caprylic/Capric Triglyceride,15,0.014005602240896359
ALGENIST,Potassium Sorbate,15,0.014005602240896359
ALGENIST,Pentylene Glycol,14,0.013071895424836602
ALGENIST,Hexylene Glycol,12,0.011204481792717087
ALGENIST,Sodium Benzoate,12,0.011204481792717087
ALGENIST,Sodium Hydroxide,12,0.011204481792717087
ALGENIST,Palmitoyl Tetrapeptide-7,11,0.01027077497665733
ALGENIST,Chlorella Protothecoides Oil,10,0.009337068160597572
ALGENIST,Polysorbate 20,10,0.009337068160597572
ALGENIST,Tocopheryl Acetate,10,0.009337068160597572
ALGENIST,Carbomer,9,0.008403361344537815
ALGENIST,Algae Extract,8,0.007469654528478058
ALGENIST,Chlorphenesin,8,0.007469654528478058
ALGENIST,Fragrance,8,0.007469654528478058
ALGENIST,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,7,0.006535947712418301
ALGENIST,Cetearyl Alcohol,7,0.006535947712418301
ALGENIST,Citric Acid,7,0.006535947712418301
ALGENIST,Glyceryl Stearate,7,0.006535947712418301
ALGENIST,Palmitoyl Oligopeptide,7,0.006535947712418301
ALGENIST,Silica,7,0.006535947712418301
ALGENIST,Tocopherol,7,0.006535947712418301
ALGENIST,Xanthan Gum,7,0.006535947712418301
ALGENIST,Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,6,0.0056022408963585435
ALGENIST,PEG-100 Stearate,6,0.0056022408963585435
ALGENIST,Polysorbate 60,6,0.0056022408963585435
ALGENIST,Propanediol,6,0.0056022408963585435
ALGENIST,Sodium Citrate,6,0.0056022408963585435
ALGENIST,Sodium Lactate,6,0.0056022408963585435
ALGENIST,Sodium PCA,6,0.0056022408963585435
ALGENIST,Adenosine,5,0.004668534080298786
ALGENIST,Butyrospermum Parkii (Shea) Butter,5,0.004668534080298786
ALGENIST,Cetyl Alcohol,5,0.004668534080298786
ALGENIST,Dimethicone Crosspolymer,5,0.004668534080298786
ALGENIST,Fragrance (Parfum),5,0.004668534080298786
ALGENIST,Fragrance.,5,0.004668534080298786
ALGENIST,Haematococcus Pluvialis Extract,5,0.004668534080298786
ALGENIST,Leuconostoc/Radish Root Ferment Filtrate,5,0.004668534080298786
