brand,ingredient,count,share
ALGENIST,Glycerin,26,0.02427637721755369
ALGENIST,Water,24,0.022408963585434174
ALGENIST,Caprylyl Glycol,23,0.021475256769374416
ALGENIST,Butylene Glycol,22,0.02054154995331466
ALGENIST,Phenoxyethanol,22,0.02054154995331466
ALGENIST,Algae Exopolysaccharides,21,0.0196078431372549
ALGENIST,Dimethicone,19,0.017740429505135387
ALGENIST,Disodium EDTA,19,0.017740429505135387
ALGENIST,Ethylhexylglycerin,16,0.014939309056956116
ALGENIST,Caprylic/Capric Triglyceride,15,0.014005602240896359
ALGENIST,Potassium Sorbate,15,0.014005602240896359
ALGENIST,Pentylene Glycol,14,0.013071895424836602
ALGENIST,Hexylene Glycol,12,0.011204481792717087
ALGENIST,Sodium Benzoate,12,0.011204481792717087
ALGENIST,Sodium Hydroxide,12,0.011204481792717087
