brand,ingredient,count,share
AMOREPACIFIC,Butylene Glycol,19,0.023170731707317073
AMOREPACIFIC,Alcohol,16,0.01951219512195122
AMOREPACIFIC,Disodium Edta,15,0.018292682926829267
AMOREPACIFIC,Glycerin,15,0.018292682926829267
AMOREPACIFIC,Water,15,0.018292682926829267
AMOREPACIFIC,Phenoxyethanol,14,0.01707317073170732
AMOREPACIFIC,Camellia Sinensis Leaf Extract,13,0.015853658536585366
AMOREPACIFIC,Fragrance.,13,0.015853658536585366
AMOREPACIFIC,Ethylhexylglycerin,12,0.014634146341463415
AMOREPACIFIC,Phyllostachis Bambusoides Juice,11,0.013414634146341463
AMOREPACIFIC,Cyclopentasiloxane,10,0.012195121951219513
AMOREPACIFIC,Epigallocatechin Gallate,10,0.012195121951219513
AMOREPACIFIC,Propanediol,10,0.012195121951219513
AMOREPACIFIC,Theanine,9,0.01097560975609756
AMOREPACIFIC,1,8,0.00975609756097561
