brand,ingredient,count,share
BEAUTYBIO,Water,4,0.04040404040404041
BEAUTYBIO,Glycerin,3,0.030303030303030304
BEAUTYBIO,Mica,3,0.030303030303030304
BEAUTYBIO,Phenoxyethanol,3,0.030303030303030304
BEAUTYBIO,Sodium Hyaluronate,3,0.030303030303030304
BEAUTYBIO,Xanthan Gum,3,0.030303030303030304
BEAUTYBIO,Algin,2,0.020202020202020204
BEAUTYBIO,Aloe Yohjyu Matsu Ekisu,2,0.020202020202020204
BEAUTYBIO,Betaine,2,0.020202020202020204
BEAUTYBIO,Chondrus Crispus Powder,2,0.020202020202020204
BEAUTYBIO,Citric Acid,2,0.020202020202020204
BEAUTYBIO,Colloidal Silver,2,0.020202020202020204
BEAUTYBIO,Diazolidinyl Urea,2,0.020202020202020204
BEAUTYBIO,Fragrance.,2,0.020202020202020204
BEAUTYBIO,Glucomannan,2,0.020202020202020204
