brand,ingredient,count,share
BECCA,Water,3,0.03896103896103896
BECCA,Butylene Glycol,2,0.025974025974025976
BECCA,Carbomer,2,0.025974025974025976
BECCA,Disodium EDTA,2,0.025974025974025976
BECCA,Fragrance,2,0.025974025974025976
BECCA,Glycerin,2,0.025974025974025976
BECCA,Mica,2,0.025974025974025976
BECCA,Phenoxyethanol,2,0.025974025974025976
BECCA,Sodium Hydroxide,2,0.025974025974025976
BECCA,Acetyl Glucosamine,1,0.012987012987012988
BECCA,Algae Extract,1,0.012987012987012988
BECCA,Alpha-Isomethyl Ionone,1,0.012987012987012988
BECCA,Ascorbyl Glucoside,1,0.012987012987012988
BECCA,BHT,1,0.012987012987012988
BECCA,BIS-PEG-18 Methyl Ether Dimethyl Silane,1,0.012987012987012988
