brand,ingredient,count,share
BELIF,Water,17,0.023287671232876714
BELIF,1,16,0.021917808219178082
BELIF,2-Hexanediol,15,0.02054794520547945
BELIF,Glycerin,15,0.02054794520547945
BELIF,Trisodium EDTA,15,0.02054794520547945
BELIF,Dipropylene Glycol,13,0.01780821917808219
BELIF,Tromethamine,12,0.01643835616438356
BELIF,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,10,0.0136986301369863
BELIF,Panthenol,10,0.0136986301369863
BELIF,Butylene Glycol,9,0.012328767123287671
BELIF,Geraniol,9,0.012328767123287671
BELIF,Limonene,9,0.012328767123287671
BELIF,Citronellol,8,0.010958904109589041
BELIF,Dimethicone,8,0.010958904109589041
BELIF,Carbomer,7,0.009589041095890411
