brand,ingredient,count,share
BLACK UP,1,1,0.023809523809523808
BLACK UP,2-Hexanediol,1,0.023809523809523808
BLACK UP,Alpha Isomethyl Ionone,1,0.023809523809523808
BLACK UP,Benzyl Salicylate,1,0.023809523809523808
BLACK UP,Bht,1,0.023809523809523808
BLACK UP,Butyloctyl Salicylate,1,0.023809523809523808
BLACK UP,Butylphenyl Met Hylpropional,1,0.023809523809523808
BLACK UP,Caprylyl Glycol,1,0.023809523809523808
BLACK UP,Ceteareth-12,1,0.023809523809523808
BLACK UP,Ceteareth-20,1,0.023809523809523808
BLACK UP,Cetearyl Alcohol,1,0.023809523809523808
BLACK UP,Cetearyl Glucoside,1,0.023809523809523808
BLACK UP,Cetearyl Isononanoate,1,0.023809523809523808
BLACK UP,Cetyl Palmitate,1,0.023809523809523808
BLACK UP,Citric Acid,1,0.023809523809523808
