brand,ingredient,count,share
BLITHE,1,3,0.03488372093023256
BLITHE,2-Hexanediol,3,0.03488372093023256
BLITHE,Water,3,0.03488372093023256
BLITHE,Acer Saccharum (Sugar Maple) Extract,2,0.023255813953488372
BLITHE,Camellia Sinensis Leaf Extract,2,0.023255813953488372
BLITHE,Carthamus Tinctorius (Safflower) Flower Extract,2,0.023255813953488372
BLITHE,Citrus Aurantium Dulcis (Orange) Fruit Extract,2,0.023255813953488372
BLITHE,Citrus Limon (Lemon) Fruit Extract,2,0.023255813953488372
BLITHE,Dextrin,2,0.023255813953488372
BLITHE,Gardenia Florida Fruit Extract,2,0.023255813953488372
BLITHE,Lactic Acid,2,0.023255813953488372
BLITHE,Lavandula Angustifolia (Lavender) Oil,2,0.023255813953488372
BLITHE,Melaleuca Alternifolia (Tea Tree) Leaf Oil,2,0.023255813953488372
BLITHE,PEG-40 Hydrogenated castor oil,2,0.023255813953488372
BLITHE,PPG-26-Buteth-26,2,0.023255813953488372
