brand,ingredient,count,share
BOBBI BROWN,Water,9,0.028938906752411574
BOBBI BROWN,Butylene Glycol,7,0.022508038585209004
BOBBI BROWN,Glycerin,7,0.022508038585209004
BOBBI BROWN,Phenoxyethanol,7,0.022508038585209004
BOBBI BROWN,Sodium Hyaluronate,7,0.022508038585209004
BOBBI BROWN,Tocopheryl Acetate,7,0.022508038585209004
BOBBI BROWN,Carbomer,5,0.01607717041800643
BOBBI BROWN,Glyceryl Stearate,5,0.01607717041800643
BOBBI BROWN,Sodium Hydroxide,5,0.01607717041800643
BOBBI BROWN,Algae Extract,4,0.012861736334405145
BOBBI BROWN,Caffeine,4,0.012861736334405145
BOBBI BROWN,Caprylyl Glycol,4,0.012861736334405145
BOBBI BROWN,Cetyl Alcohol,4,0.012861736334405145
BOBBI BROWN,Disodium Edta,4,0.012861736334405145
BOBBI BROWN,Hexylene Glycol,4,0.012861736334405145
