brand,ingredient,count,share
CANE + AUSTIN,Ascorbic Acid,2,0.038461538461538464
CANE + AUSTIN,Biotin,2,0.038461538461538464
CANE + AUSTIN,Phospholipids,2,0.038461538461538464
CANE + AUSTIN,Purified Water,2,0.038461538461538464
CANE + AUSTIN,Resveratrol,2,0.038461538461538464
CANE + AUSTIN,Tocopheryl Acetate,2,0.038461538461538464
CANE + AUSTIN,Ascorbyl Palmitate,1,0.019230769230769232
CANE + AUSTIN,Avobenzone,1,0.019230769230769232
CANE + AUSTIN,Camellia,1,0.019230769230769232
CANE + AUSTIN,Camellia Sinensis (Green Tea) Polyphenols,1,0.019230769230769232
CANE + AUSTIN,Caprylyl Glycol,1,0.019230769230769232
CANE + AUSTIN,Centella Asiatica Extract,1,0.019230769230769232
CANE + AUSTIN,Ceramide 2,1,0.019230769230769232
CANE + AUSTIN,Cetearyl Alcohol,1,0.019230769230769232
CANE + AUSTIN,Cetheth-20 Phosphate,1,0.019230769230769232
