brand,ingredient,count,share
CAUDALIE,Water,23,0.032716927453769556
CAUDALIE,Caprylyl Glycol,20,0.02844950213371266
CAUDALIE,Glycerin*,20,0.02844950213371266
CAUDALIE,Tocopherol*,16,0.02275960170697013
CAUDALIE,Sodium Phytate*,13,0.01849217638691323
CAUDALIE,Potassium Sorbate,12,0.017069701280227598
CAUDALIE,Xanthan Gum,12,0.017069701280227598
CAUDALIE,Carbomer,11,0.015647226173541962
CAUDALIE,Sodium Hydroxide,11,0.015647226173541962
CAUDALIE,Palmitoyl Grape Seed Extract*,10,0.01422475106685633
CAUDALIE,Parfum (Fragrance),10,0.01422475106685633
CAUDALIE,Sodium Benzoate,9,0.012802275960170697
CAUDALIE,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,8,0.011379800853485065
CAUDALIE,Butylene Glycol,8,0.011379800853485065
CAUDALIE,Butylene Glycol*,8,0.011379800853485065
