brand,ingredient,count,share
CLARINS,Glycerin,21,0.02766798418972332
CLARINS,Water,20,0.026350461133069828
CLARINS,Phenoxyethanol,16,0.021080368906455864
CLARINS,Butylene Glycol,15,0.019762845849802372
CLARINS,Disodium Edta,14,0.01844532279314888
CLARINS,Ethylhexylglycerin,14,0.01844532279314888
CLARINS,Potassium Sorbate,13,0.017127799736495388
CLARINS,Tocopheryl Acetate,12,0.015810276679841896
CLARINS,Alcohol,11,0.014492753623188406
CLARINS,Dimethicone,11,0.014492753623188406
CLARINS,Parfum/Fragrance,11,0.014492753623188406
CLARINS,Sodium Benzoate,10,0.013175230566534914
CLARINS,Carbomer,9,0.011857707509881422
CLARINS,Caprylic/Capric Triglyceride,8,0.010540184453227932
CLARINS,Citric Acid,8,0.010540184453227932
