brand,ingredient,count,share
CLINIQUE,Butylene Glycol,67,0.02426657008330315
CLINIQUE,Phenoxyethanol,64,0.023180007243752264
CLINIQUE,Water,56,0.02028250633828323
CLINIQUE,Disodium Edta,55,0.0199203187250996
CLINIQUE,Glycerin,54,0.019558131111915972
CLINIQUE,Sodium Hyaluronate,48,0.017385005432814196
CLINIQUE,Caffeine,46,0.01666063020644694
CLINIQUE,Caprylyl Glycol,45,0.01629844259326331
CLINIQUE,Dimethicone,43,0.015574067366896052
CLINIQUE,Tocopheryl Acetate,41,0.014849692140528795
CLINIQUE,Sucrose,33,0.01195219123505976
CLINIQUE,Acetyl Glucosamine,28,0.010141253169141615
CLINIQUE,Hexylene Glycol,27,0.009779065555957986
CLINIQUE,Silica,25,0.009054690329590729
CLINIQUE,Xanthan Gum,25,0.009054690329590729
