brand,ingredient,count,share
DERMADOCTOR,Glycerin,11,0.02696078431372549
DERMADOCTOR,Phenoxyethanol,10,0.024509803921568627
DERMADOCTOR,Butylene Glycol,9,0.022058823529411766
DERMADOCTOR,Water,9,0.022058823529411766
DERMADOCTOR,Tocopheryl Acetate,6,0.014705882352941176
DERMADOCTOR,Carbomer,5,0.012254901960784314
DERMADOCTOR,Cetyl Alcohol,5,0.012254901960784314
DERMADOCTOR,Disodium EDTA,5,0.012254901960784314
DERMADOCTOR,Squalane,5,0.012254901960784314
DERMADOCTOR,Butylparaben,4,0.00980392156862745
DERMADOCTOR,Camellia Sinensis (White Tea) Leaf Extract,4,0.00980392156862745
DERMADOCTOR,Caprylic/Capric Triglyceride,4,0.00980392156862745
DERMADOCTOR,Caprylyl Glycol,4,0.00980392156862745
DERMADOCTOR,Dimethicone,4,0.00980392156862745
DERMADOCTOR,Ethylhexylglycerin,4,0.00980392156862745
