brand,ingredient,count,share
DR ROEBUCK’S,Glycerin,6,0.06976744186046512
DR ROEBUCK’S,Butyrospermum Parkii (Shea) Butter,3,0.03488372093023256
DR ROEBUCK’S,Caprylyl Glycol,3,0.03488372093023256
DR ROEBUCK’S,Ceteareth-20,3,0.03488372093023256
DR ROEBUCK’S,Cetearyl Alcohol,3,0.03488372093023256
DR ROEBUCK’S,Cetearyl Glucoside,3,0.03488372093023256
DR ROEBUCK’S,Kaolin,3,0.03488372093023256
DR ROEBUCK’S,Quartz,3,0.03488372093023256
DR ROEBUCK’S,Water,3,0.03488372093023256
DR ROEBUCK’S,Acacia Victoriae Fruit Extract,2,0.023255813953488372
DR ROEBUCK’S,Alcohol,2,0.023255813953488372
DR ROEBUCK’S,Arnica Montana Flower Extract,2,0.023255813953488372
DR ROEBUCK’S,Benzyl Alcohol,2,0.023255813953488372
DR ROEBUCK’S,Camelina Sativa Seed Oil,2,0.023255813953488372
DR ROEBUCK’S,Caprylic/Capric Triglyceride,2,0.023255813953488372
