brand,ingredient,count,share
DR. BRANDT SKINCARE,Phenoxyethanol,18,0.024930747922437674
DR. BRANDT SKINCARE,Water,15,0.02077562326869806
DR. BRANDT SKINCARE,Glycerin,14,0.019390581717451522
DR. BRANDT SKINCARE,Xanthan Gum,14,0.019390581717451522
DR. BRANDT SKINCARE,Ethylhexylglycerin,13,0.018005540166204988
DR. BRANDT SKINCARE,Butylene Glycol,12,0.01662049861495845
DR. BRANDT SKINCARE,Lavandula Angustifolia (Lavender) Oil,10,0.013850415512465374
DR. BRANDT SKINCARE,Caprylic/Capric Triglyceride,9,0.012465373961218837
DR. BRANDT SKINCARE,Silica,8,0.0110803324099723
DR. BRANDT SKINCARE,Disodium Edta,7,0.009695290858725761
DR. BRANDT SKINCARE,Lecithin,7,0.009695290858725761
DR. BRANDT SKINCARE,Propanediol,7,0.009695290858725761
DR. BRANDT SKINCARE,Sodium Hyaluronate,7,0.009695290858725761
DR. BRANDT SKINCARE,Tocopheryl Acetate,7,0.009695290858725761
DR. BRANDT SKINCARE,Glyceryl Stearate,6,0.008310249307479225
