brand,ingredient,count,share
DR. DENNIS GROSS SKINCARE,Glycerin,15,0.015447991761071062
DR. DENNIS GROSS SKINCARE,Water,15,0.015447991761071062
DR. DENNIS GROSS SKINCARE,Butylene Glycol,14,0.014418125643666324
DR. DENNIS GROSS SKINCARE,Phenoxyethanol,14,0.014418125643666324
DR. DENNIS GROSS SKINCARE,Citric Acid,13,0.013388259526261586
DR. DENNIS GROSS SKINCARE,Glycolic Acid,13,0.013388259526261586
DR. DENNIS GROSS SKINCARE,Lactic Acid,13,0.013388259526261586
DR. DENNIS GROSS SKINCARE,Sodium Hyaluronate,13,0.013388259526261586
DR. DENNIS GROSS SKINCARE,Camellia Sinensis Leaf Extract,12,0.012358393408856848
DR. DENNIS GROSS SKINCARE,Polysorbate 20,12,0.012358393408856848
DR. DENNIS GROSS SKINCARE,Sodium Benzoate,12,0.012358393408856848
DR. DENNIS GROSS SKINCARE,Sodium PCA,11,0.01132852729145211
DR. DENNIS GROSS SKINCARE,BHT,10,0.010298661174047374
DR. DENNIS GROSS SKINCARE,Disodium EDTA,10,0.010298661174047374
DR. DENNIS GROSS SKINCARE,Phospholipids,10,0.010298661174047374
