brand,ingredient,count,share
DR. JART+,Butylene Glycol,41,0.02554517133956386
DR. JART+,Glycerin,38,0.02367601246105919
DR. JART+,Water,34,0.02118380062305296
DR. JART+,1,33,0.020560747663551402
DR. JART+,2-Hexanediol,30,0.018691588785046728
DR. JART+,Phenoxyethanol,30,0.018691588785046728
DR. JART+,Disodium EDTA,28,0.017445482866043614
DR. JART+,Ethylhexylglycerin,22,0.013707165109034268
DR. JART+,Citrus Aurantium Bergamia (Bergamot) Fruit Oil,21,0.013084112149532711
DR. JART+,Panthenol,19,0.011838006230529595
DR. JART+,PEG-60 Hydrogenated Castor Oil,18,0.011214953271028037
DR. JART+,Xanthan Gum,17,0.01059190031152648
DR. JART+,Niacinamide,14,0.008722741433021807
DR. JART+,Silica,14,0.008722741433021807
DR. JART+,Alcohol,13,0.00809968847352025
