brand,ingredient,count,share
DRUNK ELEPHANT,Sclerocarya Birrea Seed Oil,25,0.030525030525030524
DRUNK ELEPHANT,Glycerin,23,0.028083028083028084
DRUNK ELEPHANT,Caprylyl Glycol,19,0.0231990231990232
DRUNK ELEPHANT,Water,18,0.02197802197802198
DRUNK ELEPHANT,Phenoxyethanol,17,0.020757020757020756
DRUNK ELEPHANT,Sodium Hyaluronate Crosspolymer,15,0.018315018315018316
DRUNK ELEPHANT,Citric Acid,13,0.015873015873015872
DRUNK ELEPHANT,Pentylene Glycol,13,0.015873015873015872
DRUNK ELEPHANT,Propanediol,12,0.014652014652014652
DRUNK ELEPHANT,Xanthan Gum,12,0.014652014652014652
DRUNK ELEPHANT,Cetearyl Alcohol,11,0.013431013431013432
DRUNK ELEPHANT,Sodium Hydroxide,11,0.013431013431013432
DRUNK ELEPHANT,Tocopherol,11,0.013431013431013432
DRUNK ELEPHANT,Vitis Vinifera (Grape) Juice Extract,10,0.01221001221001221
DRUNK ELEPHANT,Chlorphenesin,9,0.01098901098901099
