brand,ingredient,count,share
EVE LOM,Glycerin,5,0.033112582781456956
EVE LOM,Phenoxyethanol,5,0.033112582781456956
EVE LOM,Water,5,0.033112582781456956
EVE LOM,Ethylhexylglycerin,3,0.019867549668874173
EVE LOM,Sodium Hyaluronate,3,0.019867549668874173
EVE LOM,Tocopherol,3,0.019867549668874173
EVE LOM,Alcohol Denat.,2,0.013245033112582781
EVE LOM,Carbomer,2,0.013245033112582781
EVE LOM,Citric Acid,2,0.013245033112582781
EVE LOM,Dipalmitoyl Hydroxyproline,2,0.013245033112582781
EVE LOM,Disodium Edta,2,0.013245033112582781
EVE LOM,Lecithin,2,0.013245033112582781
EVE LOM,Pentylene Glycol,2,0.013245033112582781
EVE LOM,Propanediol,2,0.013245033112582781
EVE LOM,Sodium Hydroxide,2,0.013245033112582781
