brand,ingredient,count,share
FARMACY,Echinacea Purpurea Root Extract,12,0.02127659574468085
FARMACY,Glycerin,11,0.01950354609929078
FARMACY,Water,10,0.01773049645390071
FARMACY,Caprylic/Capric Triglyceride,8,0.014184397163120567
FARMACY,Propanediol,7,0.012411347517730497
FARMACY,1,6,0.010638297872340425
FARMACY,2-Hexanediol,6,0.010638297872340425
FARMACY,Butylene Glycol,6,0.010638297872340425
FARMACY,Citric Acid,6,0.010638297872340425
FARMACY,Helianthus Annuus (Sunflower) Seed Oil,6,0.010638297872340425
FARMACY,Melia Azadirachta Flower Extract,6,0.010638297872340425
FARMACY,Melia Azadirachta Leaf Extract,6,0.010638297872340425
FARMACY,Ocimum Sanctum Leaf Extract,6,0.010638297872340425
FARMACY,Tocopherol,6,0.010638297872340425
FARMACY,Allantoin,5,0.008865248226950355
