brand,ingredient,count,share
FARSÁLI,Ethylhexylglycerin,2,0.03125
FARSÁLI,Glycerin,2,0.03125
FARSÁLI,Phenoxyethanol,2,0.03125
FARSÁLI,Propanediol,2,0.03125
FARSÁLI,Water,2,0.03125
FARSÁLI,Acryloyldimethyl Taurate Copolymer,1,0.015625
FARSÁLI,Ascorbic Acid,1,0.015625
FARSÁLI,Benzoic Acid,1,0.015625
FARSÁLI,Blue 1,1,0.015625
FARSÁLI,Calophyllum Tacamahaca Seed oil.,1,0.015625
FARSÁLI,Caprylic/Capric Triglyceride,1,0.015625
FARSÁLI,Carthamus Tinctorius (Safflower) Seed Oil,1,0.015625
FARSÁLI,Ceteareth-12,1,0.015625
FARSÁLI,Ceteareth-20,1,0.015625
FARSÁLI,Cetearyl Alcohol,1,0.015625
