brand,ingredient,count,share
FIRST AID BEAUTY,Glycerin,26,0.02924634420697413
FIRST AID BEAUTY,Camellia Sinensis Leaf Extract,25,0.0281214848143982
FIRST AID BEAUTY,Water,25,0.0281214848143982
FIRST AID BEAUTY,Phenoxyethanol,23,0.025871766029246346
FIRST AID BEAUTY,Chrysanthemum Parthenium (Feverfew) Extract,18,0.020247469066366704
FIRST AID BEAUTY,Glycyrrhiza Glabra (Licorice) Root Extract,18,0.020247469066366704
FIRST AID BEAUTY,Butylene Glycol,17,0.019122609673790775
FIRST AID BEAUTY,Caprylyl Glycol,15,0.01687289088863892
FIRST AID BEAUTY,Sodium Hydroxide,14,0.015748031496062992
FIRST AID BEAUTY,Xanthan Gum,14,0.015748031496062992
FIRST AID BEAUTY,Dimethicone,13,0.014623172103487065
FIRST AID BEAUTY,Leuconostoc/Radish Root Ferment Filtrate,11,0.012373453318335208
FIRST AID BEAUTY,Allantoin,10,0.01124859392575928
FIRST AID BEAUTY,Caprylic/Capric Triglyceride,10,0.01124859392575928
FIRST AID BEAUTY,Polysorbate 20,9,0.010123734533183352
