brand,ingredient,count,share
FRESH,Water,33,0.025404157043879907
FRESH,Glycerin,32,0.024634334103156273
FRESH,Butylene Glycol,27,0.020785219399538105
FRESH,Tocopherol,27,0.020785219399538105
FRESH,Pentylene Glycol,25,0.01924557351809084
FRESH,Phenoxyethanol,25,0.01924557351809084
FRESH,Caprylic/Capric Triglyceride,23,0.01770592763664357
FRESH,BHT,22,0.016936104695919937
FRESH,Tocopheryl Acetate,21,0.016166281755196306
FRESH,Citric Acid,20,0.015396458814472672
FRESH,Xanthan Gum,19,0.014626635873749037
FRESH,Sodium Hyaluronate,18,0.013856812933025405
FRESH,Caramel,17,0.01308698999230177
FRESH,Citronellol,17,0.01308698999230177
FRESH,Potassium Sorbate,16,0.012317167051578136
