brand,ingredient,count,share
GLAMGLOW,Glycerin,18,0.024193548387096774
GLAMGLOW,Phenoxyethanol,16,0.021505376344086023
GLAMGLOW,Fragrance,15,0.020161290322580645
GLAMGLOW,Water,15,0.020161290322580645
GLAMGLOW,Butylene Glycol,13,0.01747311827956989
GLAMGLOW,Caprylyl Glycol,13,0.01747311827956989
GLAMGLOW,Ethylhexylglycerin,13,0.01747311827956989
GLAMGLOW,Disodium Edta,12,0.016129032258064516
GLAMGLOW,Xanthan Gum,12,0.016129032258064516
GLAMGLOW,Linalool,11,0.01478494623655914
GLAMGLOW,Kaolin,10,0.013440860215053764
GLAMGLOW,Limonene,10,0.013440860215053764
GLAMGLOW,Potassium Sorbate,10,0.013440860215053764
GLAMGLOW,Hexylene Glycol,9,0.012096774193548387
GLAMGLOW,Citric Acid,8,0.010752688172043012
