brand,ingredient,count,share
GLOW RECIPE,Fragrance.,5,0.045454545454545456
GLOW RECIPE,Glycyrrhiza Glabra (Licorice) Root Extract,5,0.045454545454545456
GLOW RECIPE,Paeonia Suffruticosa (Peony) Root Extract,5,0.045454545454545456
GLOW RECIPE,Brassica Oleracea Capitata (Cabbage) Leaf Extract,4,0.03636363636363636
GLOW RECIPE,Citrullus Lanatus (Watermelon) Fruit,4,0.03636363636363636
GLOW RECIPE,Glycerin,4,0.03636363636363636
GLOW RECIPE,Ipomoea Batatas (Sweet Potato) Root Extract,4,0.03636363636363636
GLOW RECIPE,Sodium Hyaluronate,4,0.03636363636363636
GLOW RECIPE,Xanthan Gum,4,0.03636363636363636
GLOW RECIPE,Beta-Glucan,3,0.02727272727272727
GLOW RECIPE,Betaine,3,0.02727272727272727
GLOW RECIPE,Caulerpa Lentillifera (Seaweed) Extract,3,0.02727272727272727
GLOW RECIPE,Glycolic Acid,3,0.02727272727272727
GLOW RECIPE,Lactic Acid,3,0.02727272727272727
GLOW RECIPE,Water,3,0.02727272727272727
