brand,ingredient,count,share
ILIA,Aloe Barbadensis Leaf Juice,1,0.03125
ILIA,Behenyl Olivate,1,0.03125
ILIA,Butyrospermun Parkii (Shea Butter)*,1,0.03125
ILIA,Camellia Sinensis (White Peony Tea) leaf*,1,0.03125
ILIA,Caprylic Capric Triglyceride,1,0.03125
ILIA,Chondrus Crispus Extract,1,0.03125
ILIA,Ci 77492,1,0.03125
ILIA,Ci 77499).,1,0.03125
ILIA,Cocos Nucifera (Coconut) Oil*,1,0.03125
ILIA,Dimethicone,1,0.03125
ILIA,Ethylhexylglycerin,1,0.03125
ILIA,Eugenia Caryophyllus (Clove) Flower Extract,1,0.03125
ILIA,Glycerin,1,0.03125
ILIA,Iron Oxide (Ci 77491,1,0.03125
ILIA,Jasminum Officinale (Jasmine) Flower/Leaf Extract,1,0.03125
