brand,ingredient,count,share
JACK BLACK,Glycerin,5,0.03205128205128205
JACK BLACK,Water,4,0.02564102564102564
JACK BLACK,Butylene Glycol,3,0.019230769230769232
JACK BLACK,Caprylyl Glycol,3,0.019230769230769232
JACK BLACK,Sodium Hyaluronate,3,0.019230769230769232
JACK BLACK,Sodium Hydroxide,3,0.019230769230769232
JACK BLACK,Tocopheryl Acetate,3,0.019230769230769232
JACK BLACK,Visit the Jack Black boutique,3,0.019230769230769232
JACK BLACK,Alcohol,2,0.01282051282051282
JACK BLACK,Aloe Barbadensis Leaf Juice*,2,0.01282051282051282
JACK BLACK,Carbomer,2,0.01282051282051282
JACK BLACK,Citric Acid,2,0.01282051282051282
JACK BLACK,Disodium Cocoamphodiacetate,2,0.01282051282051282
JACK BLACK,Glycolic Acid,2,0.01282051282051282
JACK BLACK,Niacinamide,2,0.01282051282051282
