brand,ingredient,count,share
KATE SOMERVILLE,Water,33,0.02780117944397641
KATE SOMERVILLE,Glycerin,26,0.02190395956192081
KATE SOMERVILLE,Phenoxyethanol,24,0.020219039595619208
KATE SOMERVILLE,Disodium EDTA,22,0.018534119629317607
KATE SOMERVILLE,Ethylhexylglycerin,22,0.018534119629317607
KATE SOMERVILLE,Butylene Glycol,18,0.015164279696714406
KATE SOMERVILLE,Dimethicone,18,0.015164279696714406
KATE SOMERVILLE,Propanediol,18,0.015164279696714406
KATE SOMERVILLE,Sodium Hydroxide,16,0.013479359730412805
KATE SOMERVILLE,Tocopheryl Acetate,15,0.012636899747262006
KATE SOMERVILLE,Glyceryl Stearate,13,0.010951979780960405
KATE SOMERVILLE,Adenosine,12,0.010109519797809604
KATE SOMERVILLE,Xanthan Gum,12,0.010109519797809604
KATE SOMERVILLE,Hydrolyzed Hyaluronic Acid,11,0.009267059814658803
KATE SOMERVILLE,Sodium Hyaluronate,11,0.009267059814658803
