brand,ingredient,count,share
KIEHL'S SINCE 1851,Water,36,0.0345821325648415
KIEHL'S SINCE 1851,Phenoxyethanol,33,0.03170028818443804
KIEHL'S SINCE 1851,Glycerin,31,0.029779058597502402
KIEHL'S SINCE 1851,Caprylyl Glycol,18,0.01729106628242075
KIEHL'S SINCE 1851,Tocopherol,17,0.01633045148895293
KIEHL'S SINCE 1851,Sodium Hydroxide,16,0.01536983669548511
KIEHL'S SINCE 1851,Xanthan Gum,15,0.01440922190201729
KIEHL'S SINCE 1851,Glyceryl Stearate,14,0.013448607108549471
KIEHL'S SINCE 1851,Chlorphenesin,13,0.012487992315081652
KIEHL'S SINCE 1851,Dimethicone,13,0.012487992315081652
KIEHL'S SINCE 1851,Butylene Glycol,12,0.011527377521613832
KIEHL'S SINCE 1851,Propylene Glycol,12,0.011527377521613832
KIEHL'S SINCE 1851,Squalane,11,0.010566762728146013
KIEHL'S SINCE 1851,Adenosine,10,0.009606147934678195
KIEHL'S SINCE 1851,Disodium Edta,10,0.009606147934678195
