brand,ingredient,count,share
KLORANE,Butylene Glycol,3,0.04054054054054054
KLORANE,Water,3,0.04054054054054054
KLORANE,Alcohol,2,0.02702702702702703
KLORANE,Centaurea Cyanus Flower Water,2,0.02702702702702703
KLORANE,Disodium EDTA,2,0.02702702702702703
KLORANE,Glycerin,2,0.02702702702702703
KLORANE,Phenethyl Alcohol,2,0.02702702702702703
KLORANE,1,1,0.013513513513513514
KLORANE,2-Hexanediol,1,0.013513513513513514
KLORANE,Arachidyl Alcohol,1,0.013513513513513514
KLORANE,Arachidyl Glucoside,1,0.013513513513513514
KLORANE,Arnica Chamissonis Flower Extract,1,0.013513513513513514
KLORANE,Benenyl Alcohol,1,0.013513513513513514
KLORANE,Blue 1 (CI 42090),1,0.013513513513513514
KLORANE,Blue 1 (CI42090),1,0.013513513513513514
