brand,ingredient,count,share
L'OCCITANE,Butyrospermum Parkii (Shea) Butter,2,0.020833333333333332
L'OCCITANE,Caprylic/Capric Triglyceride,2,0.020833333333333332
L'OCCITANE,Chlorphenesin,2,0.020833333333333332
L'OCCITANE,Dimethicone,2,0.020833333333333332
L'OCCITANE,Ethylhexylglycerin,2,0.020833333333333332
L'OCCITANE,Glyceryl Linoleate,2,0.020833333333333332
L'OCCITANE,Glyceryl Stearate,2,0.020833333333333332
L'OCCITANE,Helianthus Annuus (Sunflower) Seed Oil,2,0.020833333333333332
L'OCCITANE,Peg-100 Stearate,2,0.020833333333333332
L'OCCITANE,Phenoxyethanol,2,0.020833333333333332
L'OCCITANE,Potassium Sorbate,2,0.020833333333333332
L'OCCITANE,Sodium Benzoate,2,0.020833333333333332
L'OCCITANE,Sucrose Palmitate,2,0.020833333333333332
L'OCCITANE,Tocopherol,2,0.020833333333333332
L'OCCITANE,Tocopheryl Acetate,2,0.020833333333333332
