brand,ingredient,count,share
LANCER,Water,11,0.02650602409638554
LANCER,Glycerin,10,0.024096385542168676
LANCER,Disodium EDTA,8,0.01927710843373494
LANCER,Ethylhexylglycerin,8,0.01927710843373494
LANCER,Glyceryl Stearate,8,0.01927710843373494
LANCER,Caprylic/Capric Triglyceride,7,0.016867469879518072
LANCER,Phenoxyethanol,7,0.016867469879518072
LANCER,Caprylyl Glycol,6,0.014457831325301205
LANCER,Xanthan Gum,6,0.014457831325301205
LANCER,Chlorphenesin,5,0.012048192771084338
LANCER,Cyclopentasiloxane,5,0.012048192771084338
LANCER,Dimethicone,5,0.012048192771084338
LANCER,PEG-100 Stearate,5,0.012048192771084338
LANCER,Panthenol,5,0.012048192771084338
LANCER,Propanediol,5,0.012048192771084338
