brand,ingredient,count,share
LANCÔME,Water,23,0.027251184834123223
LANCÔME,Glycerin,20,0.023696682464454975
LANCÔME,Phenoxyethanol,20,0.023696682464454975
LANCÔME,Dimethicone,16,0.018957345971563982
LANCÔME,Fragrance.,14,0.016587677725118485
LANCÔME,Alcohol Denat.,12,0.014218009478672985
LANCÔME,Citronellol,12,0.014218009478672985
LANCÔME,Limonene,12,0.014218009478672985
LANCÔME,Adenosine,11,0.013033175355450236
LANCÔME,Dimethiconol,11,0.013033175355450236
LANCÔME,Linalool,11,0.013033175355450236
LANCÔME,Benzyl Alcohol,10,0.011848341232227487
LANCÔME,Caprylyl Glycol,10,0.011848341232227487
LANCÔME,Disodium Edta,10,0.011848341232227487
LANCÔME,Pentylene Glycol,9,0.01066350710900474
