brand,ingredient,count,share
LANEIGE,Water,18,0.031413612565445025
LANEIGE,Ethylhexylglycerin,15,0.02617801047120419
LANEIGE,Glycerin,15,0.02617801047120419
LANEIGE,Butylene Glycol,13,0.02268760907504363
LANEIGE,Disodium EDTA,13,0.02268760907504363
LANEIGE,Calcium Chloride,12,0.020942408376963352
LANEIGE,Chenopodium Quinoa Seed Extract,12,0.020942408376963352
LANEIGE,Magnesium Sulfate,12,0.020942408376963352
LANEIGE,Manganese Sulfate,12,0.020942408376963352
LANEIGE,Zinc Sulfate,12,0.020942408376963352
LANEIGE,Phenoxyethanol,11,0.019197207678883072
LANEIGE,Fragrance.,10,0.017452006980802792
LANEIGE,Ascorbyl Glucoside,9,0.015706806282722512
LANEIGE,Dimethicone,9,0.015706806282722512
LANEIGE,1,8,0.013961605584642234
