brand,ingredient,count,share
LAURA MERCIER,Phenoxyethanol,5,0.03225806451612903
LAURA MERCIER,Carbomer,4,0.025806451612903226
LAURA MERCIER,Allantoin,3,0.01935483870967742
LAURA MERCIER,Aminomethyl Propanol,3,0.01935483870967742
LAURA MERCIER,Butylene Glycol,3,0.01935483870967742
LAURA MERCIER,Butylparaben,3,0.01935483870967742
LAURA MERCIER,Cetearyl Alcohol,3,0.01935483870967742
LAURA MERCIER,Isobutylparaben,3,0.01935483870967742
LAURA MERCIER,Linalool,3,0.01935483870967742
LAURA MERCIER,Methylparaben,3,0.01935483870967742
LAURA MERCIER,Propylparaben,3,0.01935483870967742
LAURA MERCIER,Sodium Ascorbate,3,0.01935483870967742
LAURA MERCIER,Sodium Dehydroacetate,3,0.01935483870967742
LAURA MERCIER,Tetrasodium EDTA,3,0.01935483870967742
LAURA MERCIER,Tocopheryl Acetate,3,0.01935483870967742
