brand,ingredient,count,share
MDSOLARSCIENCES,Butyloctyl Salicylate,5,0.030864197530864196
MDSOLARSCIENCES,Dimethicone,5,0.030864197530864196
MDSOLARSCIENCES,Glyceryl Isostearate,4,0.024691358024691357
MDSOLARSCIENCES,Polyester-8,4,0.024691358024691357
MDSOLARSCIENCES,Behenic Acid,3,0.018518518518518517
MDSOLARSCIENCES,Caprooyl Phytosphingosine,3,0.018518518518518517
MDSOLARSCIENCES,Ceramide AP,3,0.018518518518518517
MDSOLARSCIENCES,Ceramide EOP,3,0.018518518518518517
MDSOLARSCIENCES,Ceramide EOS,3,0.018518518518518517
MDSOLARSCIENCES,Ceramide NP,3,0.018518518518518517
MDSOLARSCIENCES,Ceramide NS,3,0.018518518518518517
MDSOLARSCIENCES,Ceteareth-25,3,0.018518518518518517
MDSOLARSCIENCES,Cetyl Alcohol,3,0.018518518518518517
MDSOLARSCIENCES,Cholesterol,3,0.018518518518518517
MDSOLARSCIENCES,Dimethicone Crosspolymer,3,0.018518518518518517
