brand,ingredient,count,share
MILK MAKEUP,Water,3,0.03571428571428571
MILK MAKEUP,Butylene Glycol,2,0.023809523809523808
MILK MAKEUP,Glycerin,2,0.023809523809523808
MILK MAKEUP,Pentylene Glycol,2,0.023809523809523808
MILK MAKEUP,Phenoxyethanol,2,0.023809523809523808
MILK MAKEUP,Sea Water,2,0.023809523809523808
MILK MAKEUP,Sodium Stearate,2,0.023809523809523808
MILK MAKEUP,Acacia Senegal Gum,1,0.011904761904761904
MILK MAKEUP,Acsorbyl Palmitate,1,0.011904761904761904
MILK MAKEUP,Ascorbic Acid,1,0.011904761904761904
MILK MAKEUP,Bis-PEG-18 Methyl Ether Dimethyl Silane,1,0.011904761904761904
MILK MAKEUP,Bis-PEG-18 methyl ether dimethyl silane,1,0.011904761904761904
MILK MAKEUP,Bis-Peg-18 Methyl Ether Dimethyl Silane,1,0.011904761904761904
MILK MAKEUP,Blue 1.,1,0.011904761904761904
MILK MAKEUP,Caffeine,1,0.011904761904761904
