brand,ingredient,count,share
MOON JUICE,Citric Acid,2,0.05263157894736842
MOON JUICE,Ganoderma Lucidum (Reishi Mushroom) Extract,2,0.05263157894736842
MOON JUICE,Glycerin,2,0.05263157894736842
MOON JUICE,Lonicera Caprifolium (Honeysuckle) Flower Extract,2,0.05263157894736842
MOON JUICE,Lonicera Japonica (Honeysuckle) Flower Extract.,2,0.05263157894736842
MOON JUICE,Oryza Sativa (Rice) Bran Oil,2,0.05263157894736842
MOON JUICE,Polyglyceryl-10 Oleate,2,0.05263157894736842
MOON JUICE,Tocopherol,2,0.05263157894736842
MOON JUICE,Tocotrienols,2,0.05263157894736842
MOON JUICE,Water,2,0.05263157894736842
MOON JUICE,Allantoin,1,0.02631578947368421
MOON JUICE,Betaine,1,0.02631578947368421
MOON JUICE,Coconut Oil Polyglyceryl-6 Esters,1,0.02631578947368421
MOON JUICE,Glycereth-7 Trimethyl Ether,1,0.02631578947368421
MOON JUICE,Glycolic Acid,1,0.02631578947368421
