brand,ingredient,count,share
MURAD,Butylene Glycol,42,0.02046783625730994
MURAD,Water,40,0.01949317738791423
MURAD,Phenoxyethanol,38,0.018518518518518517
MURAD,Betaine,34,0.016569200779727095
MURAD,Inositol,33,0.01608187134502924
MURAD,Taurine,33,0.01608187134502924
MURAD,Trehalose,33,0.01608187134502924
MURAD,Yeast Amino Acids,32,0.015594541910331383
MURAD,Disodium EDTA,31,0.015107212475633527
MURAD,Urea,31,0.015107212475633527
MURAD,Glycerin,30,0.014619883040935672
MURAD,Chlorphenesin,28,0.01364522417153996
MURAD,Tocopheryl Acetate,28,0.01364522417153996
MURAD,Caprylyl Glycol,23,0.011208576998050682
MURAD,Sodium Hydroxide,19,0.009259259259259259
