brand,ingredient,count,share
NATURALLY SERIOUS,Cetearyl Olivate (emulsifier - fatty acids from olive oil),2,0.02564102564102564
NATURALLY SERIOUS,Leontopodium Alpinum (Edelweiss) Extract,2,0.02564102564102564
NATURALLY SERIOUS,Lycium Barbarum Fruit (Goji Berry) Extract,2,0.02564102564102564
NATURALLY SERIOUS,Punica Granatum (Pomegranate) Extract,2,0.02564102564102564
NATURALLY SERIOUS,Sodium Hyaluronate (humectant - natural fermentation),2,0.02564102564102564
NATURALLY SERIOUS,Sorbitan Olivate (emulsifier - fatty acids from olive oil),2,0.02564102564102564
NATURALLY SERIOUS,Vitis Vinifera (Grape Seed) Extract,2,0.02564102564102564
NATURALLY SERIOUS,Water,2,0.02564102564102564
NATURALLY SERIOUS,Allantoin (soothing - comfrey herb),1,0.01282051282051282
NATURALLY SERIOUS,Aluminum Starch Octenylsuccinate (viscosity- complex carbohydrate from plants),1,0.01282051282051282
NATURALLY SERIOUS,Aspalathus Linearis Leaf (Red Tea) Extract,1,0.01282051282051282
NATURALLY SERIOUS,Aspalathus Linearis Leaf (Rooibos/Red Tea) Extract,1,0.01282051282051282
NATURALLY SERIOUS,Avena Sativa (Oat) Bran Extract,1,0.01282051282051282
NATURALLY SERIOUS,Butyrospermum Parkii (Shea) Butter,1,0.01282051282051282
NATURALLY SERIOUS,C9-12 Alkane (coconut),1,0.01282051282051282
