brand,ingredient,count,share
ORIGINS,Butylene Glycol,48,0.02058319039451115
ORIGINS,Glycerin,42,0.018010291595197257
ORIGINS,Sodium Hyaluronate,39,0.01672384219554031
ORIGINS,Caprylyl Glycol,36,0.015437392795883362
ORIGINS,Limonene,36,0.015437392795883362
ORIGINS,Water,36,0.015437392795883362
ORIGINS,Hexylene Glycol,34,0.014579759862778732
ORIGINS,Linalool,34,0.014579759862778732
ORIGINS,Caffeine,31,0.013293310463121783
ORIGINS,Dimethicone,28,0.012006861063464836
ORIGINS,Tocopheryl Acetate,23,0.00986277873070326
ORIGINS,Squalane,22,0.009433962264150943
ORIGINS,Citral,20,0.008576329331046312
ORIGINS,Trehalose,20,0.008576329331046312
ORIGINS,Carbomer,19,0.008147512864493996
