brand,ingredient,count,share
PERRICONE MD,Water,23,0.029262086513994912
PERRICONE MD,Glycerin,17,0.021628498727735368
PERRICONE MD,Phenoxyethanol,17,0.021628498727735368
PERRICONE MD,Caprylyl Glycol,14,0.017811704834605598
PERRICONE MD,Sodium Hyaluronate,13,0.01653944020356234
PERRICONE MD,Dimethicone,12,0.015267175572519083
PERRICONE MD,Dimethyl MEA,12,0.015267175572519083
PERRICONE MD,Disodium EDTA,12,0.015267175572519083
PERRICONE MD,Tetrahexyldecyl Ascorbate,12,0.015267175572519083
PERRICONE MD,Cetearyl Alcohol,10,0.01272264631043257
PERRICONE MD,Cyclopentasiloxane,9,0.011450381679389313
PERRICONE MD,Polysorbate 20,9,0.011450381679389313
PERRICONE MD,Benzyl Alcohol,8,0.010178117048346057
PERRICONE MD,Butylene Glycol,8,0.010178117048346057
PERRICONE MD,Caprylic/Capric Triglyceride,8,0.010178117048346057
