brand,ingredient,count,share
PETER THOMAS ROTH,Water,38,0.02524916943521595
PETER THOMAS ROTH,Butylene Glycol,36,0.023920265780730896
PETER THOMAS ROTH,Glycerin,32,0.0212624584717608
PETER THOMAS ROTH,Potassium Sorbate,32,0.0212624584717608
PETER THOMAS ROTH,Sodium Benzoate,28,0.018604651162790697
PETER THOMAS ROTH,Phenoxyethanol,22,0.014617940199335547
PETER THOMAS ROTH,Sodium Hyaluronate,22,0.014617940199335547
PETER THOMAS ROTH,Propylene Glycol,19,0.012624584717607974
PETER THOMAS ROTH,Carbomer,18,0.011960132890365448
PETER THOMAS ROTH,Tocopheryl Acetate,18,0.011960132890365448
PETER THOMAS ROTH,Allantoin,17,0.011295681063122924
PETER THOMAS ROTH,Phenoxyethanol.,16,0.0106312292358804
PETER THOMAS ROTH,Citric Acid,14,0.009302325581395349
PETER THOMAS ROTH,Sodium Hydroxide,14,0.009302325581395349
PETER THOMAS ROTH,Aloe Barbadensis Leaf Juice,13,0.008637873754152824
