brand,ingredient,count,share
PHILOSOPHY,Glycerin,23,0.01984469370146678
PHILOSOPHY,Water,20,0.01725625539257981
PHILOSOPHY,Phenoxyethanol,19,0.01639344262295082
PHILOSOPHY,Sodium Hydroxide,18,0.015530629853321829
PHILOSOPHY,Citric Acid,17,0.014667817083692839
PHILOSOPHY,Disodium Edta,17,0.014667817083692839
PHILOSOPHY,Adenosine,15,0.012942191544434857
PHILOSOPHY,Butylene Glycol,15,0.012942191544434857
PHILOSOPHY,Bht,14,0.012079378774805867
PHILOSOPHY,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,13,0.011216566005176877
PHILOSOPHY,Caprylyl Glycol,13,0.011216566005176877
PHILOSOPHY,Cyclopentasiloxane,13,0.011216566005176877
PHILOSOPHY,Ethylhexylglycerin,13,0.011216566005176877
PHILOSOPHY,Sorbic Acid,12,0.010353753235547885
PHILOSOPHY,Lecithin,11,0.009490940465918895
