brand,ingredient,count,share
SAND & SKY,Aloe Barbadensis (Aloe Vera) Leaf Juice,1,0.047619047619047616
SAND & SKY,Bentonite,1,0.047619047619047616
SAND & SKY,Benzyl Alcohol,1,0.047619047619047616
SAND & SKY,CI 77491,1,0.047619047619047616
SAND & SKY,Centipeda Cunninghamii Extract (Old Man’s Weed),1,0.047619047619047616
SAND & SKY,Dehydroacetic Acid,1,0.047619047619047616
SAND & SKY,Garcinia Mangostana (Mangosteen) Fruit Extract,1,0.047619047619047616
SAND & SKY,Glycerin,1,0.047619047619047616
SAND & SKY,Glycyrrhiza Glabra (Liquorice) Root Extract,1,0.047619047619047616
SAND & SKY,Hamamelis Virginiana (Witch Hazel) Bark/Twig Extract,1,0.047619047619047616
SAND & SKY,Kaolin (Australian Clay),1,0.047619047619047616
SAND & SKY,Lactic Acid,1,0.047619047619047616
SAND & SKY,Limonene. *Natural,1,0.047619047619047616
SAND & SKY,Parfum*,1,0.047619047619047616
SAND & SKY,Phenoxyethanol,1,0.047619047619047616
