brand,ingredient,count,share
SATURDAY SKIN,1,7,0.022435897435897436
SATURDAY SKIN,2-Hexanediol,7,0.022435897435897436
SATURDAY SKIN,Glycerin,7,0.022435897435897436
SATURDAY SKIN,Water,7,0.022435897435897436
SATURDAY SKIN,Butylene Glycol,6,0.019230769230769232
SATURDAY SKIN,Cholesterol,6,0.019230769230769232
SATURDAY SKIN,Citrus Aurantium Dulcis (Orange) Peel Oil,6,0.019230769230769232
SATURDAY SKIN,Citrus Grandis (Grapefruit) Peel Oil,6,0.019230769230769232
SATURDAY SKIN,Eucalyptus Globulus Leaf Oil,6,0.019230769230769232
SATURDAY SKIN,Juniperus Mexicana Oil,6,0.019230769230769232
SATURDAY SKIN,Lavandula Angustifolia (Lavender) Oil,6,0.019230769230769232
SATURDAY SKIN,Polysorbate 20,6,0.019230769230769232
SATURDAY SKIN,Rosmarinus Officinalis (Rosemary) Leaf Oil,6,0.019230769230769232
SATURDAY SKIN,Hydrogenated Lecithin,5,0.016025641025641024
SATURDAY SKIN,sh-Oligopeptide-1,5,0.016025641025641024
