brand,ingredient,count,share
SEPHORA COLLECTION,Glycerin,53,0.03874269005847953
SEPHORA COLLECTION,Phenoxyethanol,52,0.038011695906432746
SEPHORA COLLECTION,Butylene Glycol,43,0.031432748538011694
SEPHORA COLLECTION,Water,41,0.029970760233918127
SEPHORA COLLECTION,Fragrance,37,0.027046783625730993
SEPHORA COLLECTION,Potassium Sorbate,34,0.024853801169590642
SEPHORA COLLECTION,Xanthan Gum,34,0.024853801169590642
SEPHORA COLLECTION,Citric Acid,33,0.02412280701754386
SEPHORA COLLECTION,1,31,0.02266081871345029
SEPHORA COLLECTION,2-Hexanediol,31,0.02266081871345029
SEPHORA COLLECTION,Sodium Benzoate,29,0.021198830409356724
SEPHORA COLLECTION,Hydroxyacetophenone,23,0.016812865497076022
SEPHORA COLLECTION,Betaine,22,0.01608187134502924
SEPHORA COLLECTION,Ethylhexylglycerin,21,0.015350877192982455
SEPHORA COLLECTION,Disodium EDTA,17,0.012426900584795321
