brand,ingredient,count,share
SHISEIDO,Butylene Glycol,41,0.022601984564498346
SHISEIDO,Glycerin,39,0.021499448732083794
SHISEIDO,Water,37,0.020396912899669238
SHISEIDO,Dimethicone,31,0.017089305402425578
SHISEIDO,Dipropylene Glycol,31,0.017089305402425578
SHISEIDO,Alcohol,30,0.016538037486218304
SHISEIDO,Phenoxyethanol,30,0.016538037486218304
SHISEIDO,Tocopherol,30,0.016538037486218304
SHISEIDO,Fragrance,27,0.014884233737596472
SHISEIDO,Linalool,27,0.014884233737596472
SHISEIDO,Butylphenyl Methylpropional,26,0.014332965821389196
SHISEIDO,Limonene,26,0.014332965821389196
SHISEIDO,Tocopheryl Acetate,25,0.013781697905181918
SHISEIDO,Disodium Edta,24,0.013230429988974642
SHISEIDO,Citronellol,22,0.012127894156560088
