brand,ingredient,count,share
SK-II,Water,17,0.03803131991051454
SK-II,Butylene Glycol,16,0.035794183445190156
SK-II,Methylparaben,16,0.035794183445190156
SK-II,Pentylene Glycol,12,0.026845637583892617
SK-II,Glycerin,11,0.024608501118568233
SK-II,Sodium Benzoate,10,0.02237136465324385
SK-II,Benzyl Alcohol,9,0.020134228187919462
SK-II,Galactomyces Ferment Filtrate (Pitera),8,0.017897091722595078
SK-II,Galactomyces Ferment Filtrate*,8,0.017897091722595078
SK-II,Niacinamide,8,0.017897091722595078
SK-II,Phenoxyethanol,7,0.015659955257270694
SK-II,Polymethylsilsesquioxane,7,0.015659955257270694
SK-II,Xanthan Gum,7,0.015659955257270694
SK-II,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,6,0.013422818791946308
SK-II,Disodium EDTA,6,0.013422818791946308
