brand,ingredient,count,share
SKIN INC SUPPLEMENT BAR,Butylene Glycol,4,0.057971014492753624
SKIN INC SUPPLEMENT BAR,Glycerin,4,0.057971014492753624
SKIN INC SUPPLEMENT BAR,Water,4,0.057971014492753624
SKIN INC SUPPLEMENT BAR,Pentylene Glycol,3,0.043478260869565216
SKIN INC SUPPLEMENT BAR,Potassium Hydroxide,3,0.043478260869565216
SKIN INC SUPPLEMENT BAR,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,2,0.028985507246376812
SKIN INC SUPPLEMENT BAR,Aloe Barbadensis Leaf Extract,2,0.028985507246376812
SKIN INC SUPPLEMENT BAR,Carbomer,2,0.028985507246376812
SKIN INC SUPPLEMENT BAR,Natto Gum,2,0.028985507246376812
SKIN INC SUPPLEMENT BAR,Phenoxyethanol,2,0.028985507246376812
SKIN INC SUPPLEMENT BAR,Sodium Hyaluronate,2,0.028985507246376812
SKIN INC SUPPLEMENT BAR,Titanium Dioxide,2,0.028985507246376812
SKIN INC SUPPLEMENT BAR,Alcaligenes Polysaccharides,1,0.014492753623188406
SKIN INC SUPPLEMENT BAR,Algae Extract,1,0.014492753623188406
SKIN INC SUPPLEMENT BAR,Algin,1,0.014492753623188406
