brand,ingredient,count,share
SMASHBOX,Water,5,0.026041666666666668
SMASHBOX,Butylene Glycol,4,0.020833333333333332
SMASHBOX,Caffeine,4,0.020833333333333332
SMASHBOX,Phenoxyethanol,4,0.020833333333333332
SMASHBOX,Acetyl Hexapeptide-8,3,0.015625
SMASHBOX,Dimethicone,3,0.015625
SMASHBOX,Glycerin,3,0.015625
SMASHBOX,Octyldodecyl Neopentanoate,3,0.015625
SMASHBOX,Phenyl Trimethicone,3,0.015625
SMASHBOX,Silica,3,0.015625
SMASHBOX,Sodium Hyaluronate,3,0.015625
SMASHBOX,Tocopheryl Acetate,3,0.015625
SMASHBOX,Trehalose,3,0.015625
SMASHBOX,Xanthan Gum,3,0.015625
SMASHBOX,Behenyl Alcohol,2,0.010416666666666666
