brand,ingredient,count,share
ST. TROPEZ TANNING ESSENTIALS,Dihydroxyacetone,2,0.05
ST. TROPEZ TANNING ESSENTIALS,Glycerin,2,0.05
ST. TROPEZ TANNING ESSENTIALS,Phenoxyethanol,2,0.05
ST. TROPEZ TANNING ESSENTIALS,Sodium Metabisulfite,2,0.05
ST. TROPEZ TANNING ESSENTIALS,Water,2,0.05
ST. TROPEZ TANNING ESSENTIALS,1,1,0.025
ST. TROPEZ TANNING ESSENTIALS,2-Hexanediol,1,0.025
ST. TROPEZ TANNING ESSENTIALS,Allantoin,1,0.025
ST. TROPEZ TANNING ESSENTIALS,Alpha-isomethyl Ionone,1,0.025
ST. TROPEZ TANNING ESSENTIALS,Bis-PEG-15 Methyl Ether Dimethicone,1,0.025
ST. TROPEZ TANNING ESSENTIALS,Butylphenyl Methylpropional,1,0.025
ST. TROPEZ TANNING ESSENTIALS,CI 14700 (Red 4),1,0.025
ST. TROPEZ TANNING ESSENTIALS,CI 19140 (Yellow 5),1,0.025
ST. TROPEZ TANNING ESSENTIALS,CI 42090 (Blue 1).,1,0.025
ST. TROPEZ TANNING ESSENTIALS,Caprylhydroxamic Acid,1,0.025
