brand,ingredient,count,share
TATA HARPER,Citral,6,0.022641509433962263
TATA HARPER,Geraniol,6,0.022641509433962263
TATA HARPER,Limonene,6,0.022641509433962263
TATA HARPER,Sodium Phytate,6,0.022641509433962263
TATA HARPER,*Ingredients from organic farming. **Clinical grade essential oils blend.,5,0.018867924528301886
TATA HARPER,Aroma**,5,0.018867924528301886
TATA HARPER,Citronellol,5,0.018867924528301886
TATA HARPER,Eugenol,5,0.018867924528301886
TATA HARPER,Glycerin,5,0.018867924528301886
TATA HARPER,Leuconostoc Ferment Filtrate,5,0.018867924528301886
TATA HARPER,Caprylic/Capric Triglyceride,4,0.01509433962264151
TATA HARPER,Cetearyl Olivate,4,0.01509433962264151
TATA HARPER,Linalool.,4,0.01509433962264151
TATA HARPER,Olea Europaea (Olive) Oil*,4,0.01509433962264151
TATA HARPER,Propanediol,4,0.01509433962264151
