brand,ingredient,count,share
TOM FORD,Aleurites Moluccana (Kukui) Seed Oil,1,0.024390243902439025
TOM FORD,Algae Extract,1,0.024390243902439025
TOM FORD,Ammonium Acryloyldimethyltaurate/VP Copolymer,1,0.024390243902439025
TOM FORD,BHT,1,0.024390243902439025
TOM FORD,Butylene Glycol,1,0.024390243902439025
TOM FORD,Butyloctyl Salicylate,1,0.024390243902439025
TOM FORD,Caffeine,1,0.024390243902439025
TOM FORD,Caprylic/Capric Triglyceride,1,0.024390243902439025
TOM FORD,Caprylyl Glycol,1,0.024390243902439025
TOM FORD,Cetyl Alcohol,1,0.024390243902439025
TOM FORD,Cholesterol,1,0.024390243902439025
TOM FORD,Citric Acid,1,0.024390243902439025
TOM FORD,Dehydroxanthan Gum,1,0.024390243902439025
TOM FORD,Dipentaerythrityl Tri-Polyhydroxystearate,1,0.024390243902439025
TOM FORD,Disodium EDTA,1,0.024390243902439025
