brand,num_products,avg_price,avg_rating,avg_actives
AMOREPACIFIC,2,55.0,4.6,2.5
BOSCIA,7,26.428571428571427,4.2,3.5714285714285716
CAUDALIE,7,27.0,4.228571428571429,2.2857142857142856
CLARINS,4,30.0,4.55,2.75
CLINIQUE,11,23.90909090909091,4.3999999999999995,3.909090909090909
DR. BRANDT SKINCARE,2,68.5,4.45,7.0
DR. JART+,2,35.5,4.45,4.5
DRUNK ELEPHANT,5,37.6,4.4399999999999995,3.8
FARMACY,3,30.666666666666668,4.466666666666666,3.3333333333333335
FIRST AID BEAUTY,5,29.6,4.26,7.4
FRESH,2,33.5,3.75,3.5
GLAMGLOW,6,41.666666666666664,4.083333333333333,8.5
INDIE LEE,2,32.0,4.4,4.0
IT COSMETICS,2,33.0,4.6,16.0
KATE SOMERVILLE,4,38.25,3.25,5.5
KIEHL'S SINCE 1851,10,26.0,4.35,3.8
KORRES,3,27.333333333333332,4.6000000000000005,3.3333333333333335
LANCER,3,68.33333333333333,4.566666666666666,5.666666666666667
LANEIGE,5,25.8,4.32,3.4
MURAD,3,48.666666666666664,4.333333333333333,5.333333333333333
OLEHENRIKSEN,10,25.8,4.470000000000001,6.4
ORIGINS,3,24.0,4.433333333333334,3.6666666666666665
PERRICONE MD,3,42.666666666666664,4.3999999999999995,2.3333333333333335
PETER THOMAS ROTH,3,38.666666666666664,4.3,5.0
PHILOSOPHY,4,35.25,4.5,6.75
REN CLEAN SKINCARE,3,32.333333333333336,4.3,2.0
SATURDAY SKIN,2,27.0,4.55,5.5
SEPHORA COLLECTION,2,7.0,4.15,0.0
SHISEIDO,6,36.333333333333336,4.283333333333333,2.6666666666666665
SK-II,3,73.66666666666667,4.3,2.6666666666666665
SUNDAY RILEY,3,42.666666666666664,4.166666666666667,5.0
TATA HARPER,3,62.666666666666664,4.233333333333333,0.0
TATCHA,3,38.333333333333336,4.5,1.0
